Paycom Software PE Ratio Historical Data,Paycom Software PE Ratio Historical Data,Paycom Software PE Ratio Historical Data,Paycom Software PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,162.78,,19.61
2024-06-30,142.71,$8.30,17.19
2024-03-31,198.12,$8.21,24.13
2023-12-31,205.38,$5.90,34.81
2023-09-30,257.05,$5.85,43.94
2023-06-30,318.07,$5.45,58.36
2023-03-31,300.61,$5.33,56.4
2022-12-31,306.84,$4.85,63.27
2022-09-30,326.3,$4.31,75.71
2022-06-30,276.99,$3.93,70.48
2022-03-31,342.51,$3.84,89.2
2021-12-31,410.55,$3.37,121.82
2021-09-30,490.21,$2.95,166.17
2021-06-30,359.41,$2.90,123.93
2021-03-31,365.92,$2.49,146.96
2020-12-31,447.2,$2.46,181.79
2020-09-30,307.82,$2.82,109.16
2020-06-30,306.27,$3.02,101.41
2020-03-31,199.75,$3.36,59.45
2019-12-31,261.8,$3.09,84.73
2019-09-30,207.15,$2.85,72.68
2019-06-30,224.19,$2.67,83.96
2019-03-31,187.02,$2.45,76.33
2018-12-31,121.08,$2.34,51.74
2018-09-30,153.67,$2.02,76.08
2018-06-30,97.73,$1.77,55.21
2018-03-31,106.19,$1.40,75.85
2017-12-31,79.43,$1.14,69.68
2017-09-30,74.12,$1.07,69.27
2017-06-30,67.65,$0.93,72.74
2017-03-31,56.87,$0.87,65.36
2016-12-31,44.98,$0.74,60.79
2016-09-30,49.57,$0.68,72.9
2016-06-30,42.73,$0.65,65.73
2016-03-31,35.2,$0.57,61.76
2015-12-31,37.21,$0.37,100.57
2015-09-30,35.51,$0.33,107.6
2015-06-30,33.77,$0.31,108.93
2015-03-31,31.7,$0.20,158.51
