Berkshire Hathaway PE Ratio Historical Data,Berkshire Hathaway PE Ratio Historical Data,Berkshire Hathaway PE Ratio Historical Data,Berkshire Hathaway PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,475.92,,15.14
2024-06-30,406.8,$31.44,12.94
2024-03-31,420.52,$33.88,12.41
2023-12-31,356.66,$44.25,8.06
2023-09-30,350.3,$35.16,9.96
2023-06-30,341.0,$39.82,8.56
2023-03-31,308.77,$3.46,89.24
2022-12-31,308.9,$-10.32,0.0
2022-09-30,267.02,$-0.80,0.0
2022-06-30,273.02,$5.01,54.5
2022-03-31,352.91,$37.18,9.49
2021-12-31,299.0,$39.80,7.51
2021-09-30,272.94,$37.35,7.31
2021-06-30,277.92,$45.42,6.12
2021-03-31,255.47,$43.97,5.81
2020-12-31,231.87,$18.44,12.57
2020-09-30,212.94,$15.04,14.16
2020-06-30,178.51,$9.13,19.55
2020-03-31,182.83,$3.99,45.82
2019-12-31,226.5,$33.24,6.81
2019-09-30,208.02,$10.99,18.93
2019-06-30,213.17,$11.76,18.13
2019-03-31,200.89,$10.89,18.45
2018-12-31,204.18,$1.62,126.04
2018-09-30,214.11,$25.12,8.52
2018-06-30,186.65,$19.25,9.7
2018-03-31,199.48,$16.11,12.38
2017-12-31,198.22,$18.22,10.88
2017-09-30,183.32,$7.58,24.18
2017-06-30,169.37,$8.85,19.14
2017-03-31,166.68,$9.15,18.22
2016-12-31,162.98,$9.77,16.68
2016-09-30,144.47,$9.44,15.3
2016-06-30,144.79,$10.34,14.0
2016-03-31,141.88,$9.94,14.27
2015-12-31,132.04,$9.77,13.51
2015-09-30,130.4,$9.24,14.11
2015-06-30,136.11,$8.01,16.99
2015-03-31,144.32,$8.29,17.41
2014-12-31,150.15,$8.21,18.29
2014-06-30,126.56,$8.57,14.77
2014-03-31,124.97,$7.82,15.98
2013-12-31,118.56,$7.89,15.03
2013-09-30,113.51,$7.74,14.67
2013-06-30,111.92,$7.53,14.86
2013-03-31,104.2,$7.27,14.33
2014-09-30,138.14,$6.54,21.12
2012-12-31,89.7,$5.98,15.0
2012-09-30,88.2,$5.37,16.42
2012-06-30,83.33,$4.71,17.69
2012-03-31,81.15,$4.84,16.77
2011-12-31,76.3,$4.14,18.43
2011-09-30,71.04,$4.69,15.15
2011-06-30,77.39,$4.98,15.54
2011-03-31,83.63,$4.40,19.01
2010-12-31,80.11,$5.30,15.12
2010-09-30,82.68,$4.83,17.12
2010-06-30,79.69,$5.01,15.91
2010-03-31,81.27,$5.63,14.44
2009-12-31,65.72,$3.46,18.99
