Philip Morris PE Ratio Historical Data,Philip Morris PE Ratio Historical Data,Philip Morris PE Ratio Historical Data,Philip Morris PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,123.29,,21.82
2024-06-30,101.33,$5.65,17.93
2024-03-31,90.44,$5.12,17.66
2023-12-31,91.6,$5.02,18.25
2023-09-30,88.88,$5.15,17.26
2023-06-30,92.4,$5.17,17.87
2023-03-31,90.85,$5.59,16.25
2022-12-31,93.26,$5.81,16.05
2022-09-30,75.54,$5.61,13.47
2022-06-30,88.56,$5.82,15.22
2022-03-31,83.2,$5.78,14.39
2021-12-31,83.0,$5.83,14.24
2021-09-30,81.72,$5.76,14.19
2021-06-30,84.37,$5.69,14.83
2021-03-31,74.64,$5.55,13.45
2020-12-31,68.71,$5.17,13.29
2020-09-30,61.34,$4.94,12.42
2020-06-30,56.41,$4.68,12.05
2020-03-31,57.81,$4.92,11.75
2019-12-31,66.16,$4.62,14.32
2019-09-30,58.24,$4.81,12.11
2019-06-30,59.26,$5.03,11.78
2019-03-31,65.74,$4.95,13.28
2018-12-31,49.02,$5.08,9.65
2018-09-30,58.94,$4.29,13.74
2018-06-30,57.54,$4.12,13.97
2018-03-31,69.83,$3.85,18.14
2017-12-31,73.42,$3.87,18.97
2017-09-30,76.36,$4.53,16.86
2017-06-30,80.03,$4.51,17.74
2017-03-31,76.27,$4.52,16.87
2016-12-31,61.24,$4.48,13.67
2016-09-30,64.34,$4.18,15.39
2016-06-30,66.62,$4.18,15.94
2016-03-31,63.61,$4.24,15.0
2015-12-31,56.4,$4.42,12.76
2015-09-30,50.31,$4.65,10.82
2015-06-30,50.19,$4.78,10.5
2015-03-31,46.59,$4.74,9.83
2014-12-31,49.73,$4.76,10.45
2014-09-30,50.32,$4.97,10.12
2014-06-30,50.26,$5.03,9.99
2014-03-31,48.3,$5.16,9.36
2013-12-31,50.81,$5.26,9.66
2013-09-30,49.94,$5.27,9.48
2013-06-30,49.43,$5.15,9.6
2013-03-31,52.39,$5.21,10.06
2012-12-31,46.83,$5.18,9.04
2012-09-30,49.85,$5.01,9.95
2012-06-30,47.91,$5.04,9.51
2012-03-31,48.21,$5.03,9.59
2011-12-31,42.33,$4.84,8.75
2011-09-30,33.31,$4.72,7.06
2011-06-30,35.23,$4.36,8.08
2011-03-31,34.31,$4.08,8.41
2010-12-31,30.29,$3.92,7.73
2010-09-30,28.68,$3.76,7.63
2010-06-30,23.2,$3.70,6.27
2010-03-31,26.06,$3.42,7.62
2009-12-31,23.81,$3.26,7.3
