Ameren PE Ratio Historical Data,Ameren PE Ratio Historical Data,Ameren PE Ratio Historical Data,Ameren PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,82.51,,18.67
2024-06-30,71.11,$4.42,16.09
2024-03-31,73.26,$4.35,16.84
2023-12-31,71.0,$4.00,17.75
2023-09-30,72.85,$5.14,14.17
2023-06-30,78.88,$4.07,19.38
2022-12-31,84.6,$4.14,20.43
2022-09-30,76.12,$3.99,19.08
2022-06-30,84.85,$3.90,21.76
2022-03-31,87.49,$3.90,22.43
2021-12-31,82.5,$3.84,21.48
2021-09-30,74.6,$3.82,19.53
2021-06-30,73.25,$3.64,20.12
2021-03-31,73.98,$3.82,19.37
2020-12-31,70.46,$3.50,20.13
2020-09-30,70.91,$3.42,20.73
2020-06-30,62.69,$3.42,18.33
2020-03-31,64.46,$3.16,20.4
2019-12-31,67.57,$3.35,20.17
2019-09-30,69.97,$3.25,21.53
2019-06-30,65.65,$3.23,20.33
2019-03-31,63.88,$3.48,18.36
2018-12-31,56.66,$3.32,17.07
2018-09-30,54.54,$2.80,19.48
2018-06-30,52.13,$2.53,20.61
2018-03-31,48.12,$2.35,20.48
2017-12-31,49.71,$2.15,23.12
2017-09-30,48.38,$2.52,19.2
2017-06-30,45.39,$2.86,15.87
2017-03-31,44.97,$2.68,16.78
2016-12-31,42.87,$2.69,15.94
2016-09-30,39.83,$2.68,14.86
2016-06-30,43.03,$2.57,16.74
2016-03-31,39.89,$2.57,15.52
2015-12-31,34.11,$2.59,13.17
2015-09-30,33.03,$2.67,12.37
2015-06-30,29.14,$2.46,11.84
2015-03-31,32.28,$2.46,13.12
2014-12-31,34.94,$2.41,14.5
2014-09-30,28.76,$2.36,12.19
2014-06-30,30.37,$2.40,12.65
2014-03-31,30.3,$2.18,13.9
2013-12-31,26.33,$1.18,22.31
2013-09-30,25.08,$-3.73,0.0
2013-06-30,24.5,$-3.43,0.0
2013-03-31,24.62,$-2.95,0.0
2012-12-31,21.35,$-4.01,0.0
2012-09-30,22.4,$0.85,26.36
2012-06-30,22.72,$0.49,46.37
2012-03-31,21.81,$0.19,114.77
2011-12-31,21.9,$2.14,10.23
2011-09-30,19.44,$2.25,8.64
2011-06-30,18.58,$0.37,50.22
2011-03-31,17.85,$0.44,40.56
2010-12-31,17.68,$0.58,30.47
2010-09-30,17.57,$0.71,24.75
2010-06-30,14.51,$2.45,5.92
2010-03-31,15.66,$2.58,6.07
2009-12-31,16.54,$2.81,5.89
2009-09-30,14.75,$3.47,4.25
