BlackRock PE Ratio Historical Data,BlackRock PE Ratio Historical Data,BlackRock PE Ratio Historical Data,BlackRock PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,901.81,,22.39
2024-06-30,787.32,$40.28,19.55
2024-03-31,833.7,$39.35,21.19
2023-12-31,806.84,$36.51,22.1
2023-09-30,638.25,$35.65,17.9
2023-06-30,677.43,$34.24,19.78
2023-03-31,651.05,$32.24,20.19
2022-12-31,684.52,$33.95,20.16
2022-09-30,527.93,$36.29,14.55
2022-06-30,580.02,$37.93,15.29
2022-03-31,722.51,$39.79,18.16
2021-12-31,859.63,$38.21,22.5
2021-09-30,783.82,$37.60,20.85
2021-06-30,814.16,$35.58,22.88
2021-03-31,698.29,$34.51,20.23
2020-12-31,664.25,$31.89,20.83
2020-09-30,516.18,$30.16,17.11
2020-06-30,495.26,$28.44,17.41
2020-03-31,397.84,$27.00,14.73
2019-12-31,451.25,$28.46,15.86
2019-09-30,397.36,$25.95,15.31
2019-06-30,415.16,$26.34,15.76
2019-03-31,375.24,$26.55,14.13
2018-12-31,344.9,$26.62,12.96
2018-09-30,410.55,$34.91,11.76
2018-06-30,431.82,$33.15,13.03
2018-03-31,466.32,$31.75,14.69
2017-12-31,439.9,$30.30,14.52
2017-09-30,380.95,$21.36,17.83
2017-06-30,357.79,$20.84,17.17
2017-03-31,322.89,$20.35,15.87
2016-12-31,318.36,$19.04,16.72
2016-09-30,301.46,$19.02,15.85
2016-06-30,283.15,$18.76,15.09
2016-03-31,279.75,$18.87,14.83
2015-12-31,277.74,$19.79,14.03
2015-09-30,241.18,$19.45,12.4
2015-06-30,278.5,$19.82,14.05
2015-03-31,292.69,$19.70,14.86
2014-12-31,284.39,$19.72,14.42
2014-09-30,259.72,$19.16,13.56
2014-06-30,251.34,$17.98,13.98
2013-12-31,245.8,$16.88,14.56
2013-09-30,209.03,$15.95,13.11
2013-06-30,197.12,$15.39,12.81
2013-03-31,194.69,$14.28,13.63
2012-12-31,155.6,$13.80,11.28
2012-09-30,133.19,$12.92,10.31
2012-06-30,125.79,$12.50,10.06
2012-03-31,150.41,$12.63,11.91
2011-12-31,129.85,$12.38,10.49
2011-09-30,106.94,$12.68,8.43
2011-06-30,137.45,$12.28,11.19
2011-03-31,143.02,$11.28,12.68
2010-12-31,134.71,$10.56,12.76
2010-09-30,119.62,$8.83,13.55
2010-06-30,100.05,$8.27,12.1
2010-03-31,151.01,$7.65,19.74
2009-12-31,160.28,$6.10,26.28
2009-09-30,149.16,$8.88,16.8
