Ralph Lauren PE Ratio Historical Data,Ralph Lauren PE Ratio Historical Data,Ralph Lauren PE Ratio Historical Data,Ralph Lauren PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,171.26,,16.51
2024-06-30,175.06,$10.37,16.88
2024-03-31,186.88,$9.72,19.23
2023-12-31,142.95,$8.82,16.21
2023-09-30,114.49,$7.83,14.62
2023-06-30,120.82,$7.82,15.45
2023-03-31,113.63,$6.20,18.33
2022-12-31,102.25,$8.65,11.82
2022-09-30,81.59,$8.02,10.17
2022-03-31,107.16,$8.02,13.36
2021-12-31,111.6,$6.67,16.73
2021-09-30,103.62,$5.35,19.37
2021-06-30,109.29,$2.25,48.57
2021-03-31,113.6,$-1.68,0.0
2020-12-31,95.69,$-4.05,0.0
2020-09-30,62.7,$-1.25,0.0
2020-06-30,66.89,$1.62,41.29
2020-03-31,61.64,$4.84,12.74
2019-12-31,107.13,$8.61,12.44
2019-09-30,86.75,$5.68,15.27
2019-06-30,102.46,$5.41,18.94
2019-03-31,116.27,$5.25,22.15
2018-12-31,92.31,$5.36,17.22
2018-09-30,121.98,$2.88,42.35
2018-06-30,110.99,$2.56,43.35
2018-03-31,98.21,$1.97,49.86
2017-12-31,90.68,$-1.01,0.0
2017-09-30,76.84,$1.72,44.67
2017-06-30,63.87,$0.95,67.23
2017-03-31,70.15,$0.78,89.94
2022-06-30,85.39,$2.99,28.56
2016-12-31,77.17,$1.75,44.09
2016-09-30,85.93,$2.31,37.2
2016-06-30,75.76,$3.62,20.93
2016-03-31,80.91,$4.62,17.51
2015-12-31,93.23,$5.54,16.83
2015-09-30,98.37,$6.41,15.35
2015-06-30,109.69,$6.80,16.13
2015-03-31,108.58,$7.87,13.8
2014-12-31,152.32,$8.14,18.71
2014-09-30,135.18,$8.30,16.29
2014-06-30,131.51,$8.28,15.88
2014-03-31,131.33,$8.42,15.6
2013-12-31,143.68,$8.11,17.72
2013-09-30,133.7,$7.85,17.03
2013-06-30,140.67,$7.91,17.78
2013-03-31,136.45,$8.00,17.06
2012-12-31,120.53,$7.62,15.82
2012-09-30,121.26,$7.09,17.1
2012-06-30,112.01,$7.26,15.43
2012-03-31,139.01,$7.13,19.5
2011-12-31,109.98,$6.88,15.99
2011-09-30,103.15,$6.82,15.13
2011-06-30,105.32,$6.45,16.33
2011-03-31,98.06,$5.76,17.02
2010-12-31,87.82,$6.15,14.28
2010-09-30,71.08,$5.53,12.85
2010-06-30,57.65,$5.19,11.11
2010-03-31,67.1,$4.42,15.18
2009-12-31,63.83,$4.05,15.76
