Chevron PE Ratio Historical Data,Chevron PE Ratio Historical Data,Chevron PE Ratio Historical Data,Chevron PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,147.95,,14.65
2024-06-30,154.7,$10.10,15.32
2024-03-31,154.45,$10.87,14.21
2023-12-31,144.52,$11.23,12.87
2023-09-30,161.65,$15.79,10.24
2023-06-30,149.44,$18.26,8.18
2022-12-31,167.31,$18.28,9.15
2022-09-30,132.9,$17.58,7.56
2022-06-30,132.74,$15.26,8.7
2022-03-31,148.04,$12.50,11.84
2021-12-31,105.57,$10.88,9.7
2023-03-31,153.45,$8.97,17.11
2021-09-30,90.22,$5.18,17.42
2021-06-30,91.87,$1.87,49.13
2021-03-31,90.77,$-4.17,0.0
2020-12-31,72.15,$-2.96,0.0
2020-09-30,60.62,$-6.14,0.0
2020-06-30,74.03,$-4.66,0.0
2020-03-31,59.29,$2.05,28.92
2019-12-31,97.47,$1.51,64.55
2019-09-30,94.99,$6.97,13.63
2019-06-30,98.65,$7.72,12.78
2019-03-31,96.7,$7.23,13.37
2018-12-31,84.55,$7.74,10.92
2018-09-30,94.14,$7.43,12.67
2018-06-30,96.41,$6.35,15.18
2018-03-31,86.22,$5.34,16.15
2017-12-31,93.72,$4.85,19.32
2017-09-30,87.14,$3.43,25.4
2017-06-30,76.6,$3.08,24.87
2017-03-31,78.02,$1.53,51.0
2016-12-31,84.72,$-0.27,0.0
2016-09-30,73.35,$-0.80,0.0
2016-06-30,73.93,$-0.39,0.0
2016-03-31,66.58,$0.69,96.49
2015-12-31,62.0,$2.45,25.31
2015-09-30,53.73,$4.61,11.66
2015-06-30,64.88,$6.47,10.03
2015-03-31,69.91,$9.15,7.64
2014-12-31,73.99,$10.14,7.3
2014-09-30,77.99,$10.86,7.18
2014-06-30,84.61,$10.48,8.07
2014-03-31,76.4,$10.27,7.44
2013-12-31,79.55,$11.09,7.17
2013-09-30,76.73,$12.22,6.28
2013-06-30,74.12,$12.34,6.01
2013-03-31,73.82,$13.23,5.58
2012-12-31,66.67,$13.32,5.01
2012-09-30,71.23,$12.20,5.84
2012-06-30,63.96,$13.43,4.76
2012-03-31,64.42,$13.62,4.73
2011-12-31,63.44,$13.44,4.72
2011-09-30,54.77,$13.50,4.06
2011-06-30,60.35,$11.45,5.27
2011-03-31,62.6,$10.30,6.08
2010-12-31,52.75,$9.48,5.56
2010-09-30,46.44,$8.37,5.55
2010-06-30,38.53,$8.42,4.58
2010-03-31,42.66,$6.59,6.47
2009-12-31,42.9,$5.24,8.19
