Cisco PE Ratio Historical Data,Cisco PE Ratio Historical Data,Cisco PE Ratio Historical Data,Cisco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,50.54,,19.9
2024-07-31,48.45,$2.54,19.07
2024-04-30,46.58,$2.97,15.68
2024-01-31,49.35,$3.29,15.0
2023-10-31,50.87,$3.31,15.37
2023-07-31,50.42,$3.07,16.42
2023-04-30,45.43,$2.78,16.34
2023-01-31,46.45,$2.73,17.01
2022-10-31,43.01,$2.77,15.53
2022-07-31,42.57,$2.82,15.1
2022-04-30,45.55,$2.85,15.98
2022-01-31,51.41,$2.80,18.36
2021-10-31,51.38,$2.69,19.1
2021-07-31,50.48,$2.50,20.19
2021-04-30,46.1,$2.41,19.13
2021-01-31,40.08,$2.38,16.84
2020-10-31,32.02,$2.46,13.01
2020-07-31,41.62,$2.63,15.82
2020-04-30,37.15,$2.52,14.74
2020-01-31,39.94,$2.56,15.6
2019-10-31,40.98,$2.51,16.33
2019-07-31,47.44,$2.60,18.24
2019-04-30,47.61,$2.90,16.42
2019-01-31,39.99,$2.77,14.44
2018-10-31,38.38,$0.36,106.6
2018-07-31,35.23,$0.07,503.35
2018-04-30,36.62,$-0.26,0.0
2018-01-31,34.07,$-0.32,0.0
2017-10-31,27.8,$1.93,14.41
2017-07-31,25.38,$1.91,13.29
2017-04-30,27.25,$1.99,13.69
2017-01-31,24.35,$1.95,12.49
2016-10-31,24.11,$2.10,11.48
2016-07-31,23.8,$2.12,11.23
2016-04-30,21.24,$2.01,10.56
2016-01-31,18.21,$2.02,9.01
2015-10-31,21.91,$1.86,11.78
2015-07-31,21.41,$1.73,12.37
2015-04-30,21.55,$1.71,12.6
2015-01-31,19.56,$1.66,11.78
2014-10-31,18.03,$1.47,12.26
2014-07-31,18.45,$1.49,12.38
2014-04-30,16.77,$1.48,11.33
2014-01-31,15.77,$1.52,10.38
2013-10-31,16.11,$1.84,8.76
2013-07-31,18.15,$1.86,9.76
2013-04-30,14.73,$1.80,8.18
2013-01-31,14.37,$1.74,8.26
2012-10-31,11.89,$1.55,7.67
2012-07-31,10.98,$1.49,7.37
2012-04-30,13.81,$1.35,10.23
2012-01-31,13.41,$1.28,10.47
2011-10-31,12.61,$1.15,10.96
2011-07-31,10.82,$1.16,9.33
2011-04-30,11.83,$1.27,9.31
2011-01-31,14.23,$1.31,10.86
2010-10-31,15.38,$1.36,11.31
2010-07-31,15.52,$1.32,11.76
2010-04-30,18.12,$1.18,15.35
2010-01-31,15.12,$1.04,14.54
2009-10-31,15.35,$0.98,15.66
