Franklin Resources PE Ratio Historical Data,Franklin Resources PE Ratio Historical Data,Franklin Resources PE Ratio Historical Data,Franklin Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,20.24,,12.42
2024-06-30,22.35,$1.63,13.71
2024-03-31,27.73,$1.75,15.84
2023-12-31,28.75,$1.90,15.13
2023-09-30,23.72,$1.72,13.79
2023-06-30,25.47,$1.60,15.92
2023-03-31,25.4,$1.66,15.3
2022-12-31,24.59,$1.96,12.55
2022-09-30,19.84,$2.52,7.87
2022-06-30,21.21,$3.36,6.31
2022-03-31,25.1,$3.72,6.75
2021-12-31,29.8,$3.78,7.88
2021-09-30,26.22,$3.57,7.34
2021-06-30,27.96,$2.42,11.55
2021-03-31,25.65,$2.15,11.93
2020-12-31,21.45,$1.57,13.66
2020-09-30,17.27,$1.51,11.44
2020-06-30,17.34,$1.84,9.42
2020-03-31,13.8,$1.97,7.0
2019-09-30,23.26,$2.35,9.9
2019-06-30,27.79,$2.70,10.29
2019-03-31,26.27,$2.92,9.0
2018-12-31,23.33,$2.95,7.91
2018-09-30,23.71,$3.19,7.43
2019-12-31,21.16,$1.17,18.08
2018-06-30,24.8,$1.23,20.16
2018-03-31,26.64,$1.21,22.02
2017-12-31,30.41,$1.17,25.99
2017-09-30,31.07,$3.00,10.36
2017-06-30,31.13,$3.06,10.17
2017-03-31,29.16,$3.10,9.41
2016-12-31,27.25,$2.97,9.18
2016-09-30,24.37,$2.94,8.29
2016-06-30,22.74,$2.71,8.39
2016-03-31,26.46,$2.76,9.59
2015-12-31,24.84,$3.13,7.94
2015-09-30,25.01,$3.30,7.58
2015-06-30,32.78,$3.73,8.79
2015-03-31,34.21,$3.83,8.93
2014-12-31,36.8,$3.74,9.84
2014-09-30,35.88,$3.79,9.47
2014-06-30,37.92,$3.57,10.62
2014-03-31,35.45,$3.51,10.1
2013-12-31,37.69,$3.52,10.72
2013-09-30,32.93,$3.36,9.79
2013-06-30,29.48,$3.33,8.84
2013-03-31,32.61,$3.18,10.26
2012-12-31,27.13,$3.06,8.88
2012-09-30,26.32,$2.98,8.82
2012-06-30,23.31,$2.84,8.21
2012-03-31,25.98,$2.89,9.0
2011-12-31,20.08,$2.86,7.01
2011-09-30,19.51,$2.87,6.79
2011-06-30,26.72,$2.80,9.55
2011-03-31,25.4,$2.57,9.88
2010-12-31,22.54,$2.34,9.65
2010-09-30,21.62,$2.11,10.26
2010-06-30,17.39,$2.09,8.32
2010-03-31,22.32,$1.99,11.2
2009-12-31,21.17,$1.64,12.93
