KLA PE Ratio Historical Data,KLA PE Ratio Historical Data,KLA PE Ratio Historical Data,KLA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,819.43,,40.37
2024-06-30,823.08,$20.30,40.55
2024-03-31,695.98,$19.09,36.46
2023-12-31,577.86,$19.69,29.35
2023-09-30,454.74,$22.30,20.39
2023-06-30,479.6,$24.09,19.91
2023-03-31,393.39,$24.52,16.04
2022-12-31,370.35,$24.32,15.23
2022-09-30,296.25,$22.14,13.38
2022-06-30,311.29,$21.90,14.21
2022-03-31,356.01,$20.60,17.28
2021-12-31,417.12,$19.43,21.47
2021-09-30,323.59,$17.66,18.32
2021-06-30,312.62,$13.39,23.35
2021-03-31,317.65,$11.92,26.65
2020-12-31,248.24,$8.76,28.34
2020-09-30,185.05,$8.22,22.51
2020-06-30,184.97,$7.69,24.05
2020-03-31,136.02,$6.41,21.22
2019-12-31,167.75,$7.14,23.49
2019-09-30,149.41,$7.16,20.87
2019-06-30,110.13,$7.22,15.25
2019-03-31,110.5,$7.82,14.13
2018-12-31,82.23,$5.73,14.35
2018-06-30,92.87,$5.09,18.25
2018-03-31,98.09,$4.49,21.85
2017-12-31,94.03,$5.08,18.51
2017-09-30,94.31,$7.55,12.49
2017-06-30,80.89,$7.29,11.1
2018-09-30,92.73,$6.80,13.64
2017-03-31,83.59,$5.99,13.95
2016-12-31,68.75,$5.50,12.5
2016-09-30,60.48,$4.96,12.19
2016-06-30,63.06,$4.49,14.04
2016-03-31,62.21,$3.65,17.04
2015-12-31,58.77,$3.34,17.6
2015-09-30,42.03,$2.48,16.95
2015-06-30,46.79,$2.25,20.8
2015-03-31,48.12,$2.13,22.59
2014-12-31,57.6,$2.53,22.76
2014-09-30,51.5,$3.24,15.9
2014-06-30,47.16,$3.47,13.59
2014-03-31,44.57,$3.50,12.73
2013-12-31,41.26,$3.27,12.62
2013-09-30,38.68,$3.07,12.6
2013-06-30,35.15,$3.21,10.95
2013-03-31,33.02,$3.87,8.53
2012-12-31,29.69,$4.10,7.24
2012-09-30,29.39,$4.13,7.12
2012-06-30,30.12,$4.46,6.75
2012-03-31,33.05,$4.43,7.46
2011-12-31,29.1,$4.44,6.55
2011-09-30,22.91,$4.87,4.7
2011-06-30,23.99,$4.65,5.16
2011-03-31,27.89,$3.88,7.19
2010-12-31,22.66,$2.99,7.58
2010-09-30,20.52,$2.03,10.11
2010-06-30,16.1,$1.24,12.99
2010-03-31,17.78,$0.43,41.35
2009-12-31,20.68,$-0.39,0.0
