Carrier Global PE Ratio Historical Data,Carrier Global PE Ratio Historical Data,Carrier Global PE Ratio Historical Data,Carrier Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,72.78,,19.41
2024-06-30,63.08,$3.75,16.82
2024-03-31,58.13,$1.43,40.65
2023-12-31,57.45,$1.58,36.36
2023-09-30,55.2,$1.41,39.15
2023-06-30,49.71,$2.52,19.73
2023-03-31,45.75,$2.96,15.46
2022-12-31,41.25,$4.10,10.06
2022-09-30,35.56,$4.14,8.59
2022-06-30,35.66,$3.14,11.36
2022-03-31,45.5,$3.02,15.07
2021-12-31,53.8,$1.87,28.77
2021-09-30,51.08,$2.51,20.35
2021-06-30,47.96,$2.82,17.01
2021-03-31,41.45,$2.57,16.13
