Old Dominion Freight Line PE Ratio Historical Data,Old Dominion Freight Line PE Ratio Historical Data,Old Dominion Freight Line PE Ratio Historical Data,Old Dominion Freight Line PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,192.8,,33.04
2024-06-30,176.6,$5.84,30.27
2024-03-31,218.99,$5.68,38.55
2023-12-31,202.12,$5.63,35.9
2023-09-30,203.81,$5.62,36.27
2023-06-30,184.02,$5.76,31.98
2023-03-31,169.41,$6.08,27.86
2022-12-31,140.88,$6.09,23.13
2022-09-30,123.37,$5.84,21.14
2022-06-30,126.96,$5.39,23.55
2022-03-31,147.79,$4.90,30.19
2021-12-31,177.16,$4.45,39.86
2021-09-30,141.29,$4.05,34.93
2021-06-30,125.3,$3.67,34.19
2021-03-31,118.61,$3.14,37.83
2020-12-31,96.2,$2.84,33.87
2020-09-30,89.11,$2.64,33.82
2020-06-30,83.47,$2.46,33.89
2020-03-31,64.55,$2.56,25.23
2019-12-31,62.14,$2.55,24.37
2019-09-30,55.6,$2.60,21.39
2019-06-30,48.78,$2.62,18.59
2019-03-31,47.13,$2.57,18.36
2018-12-31,40.26,$2.46,16.34
2018-09-30,52.52,$2.61,20.12
2018-06-30,48.47,$2.32,20.92
2018-03-31,47.79,$2.05,23.31
2017-12-31,42.73,$1.87,22.81
2017-09-30,35.74,$1.35,26.41
2017-06-30,30.88,$1.28,24.06
2017-03-31,27.72,$1.21,22.84
2016-12-31,27.76,$1.19,23.39
2016-09-30,22.2,$1.19,18.6
2016-06-30,19.51,$1.18,16.54
2016-03-31,22.53,$1.19,18.98
2015-12-31,19.11,$1.19,16.06
2015-09-30,19.74,$1.18,16.77
2015-06-30,22.2,$1.15,19.36
2015-03-31,25.01,$1.10,22.74
2014-12-31,25.12,$1.03,24.31
2014-09-30,22.86,$0.95,24.14
2014-06-30,20.6,$0.88,23.41
2014-03-31,18.36,$0.82,22.39
2013-12-31,17.15,$0.80,21.44
2013-09-30,14.88,$0.77,19.32
2013-06-30,13.47,$0.73,18.36
2013-03-31,12.36,$0.69,17.88
2012-12-31,11.09,$0.65,16.95
2012-09-30,9.75,$0.65,14.9
2012-06-30,9.34,$0.61,15.39
2012-03-31,10.28,$0.58,17.87
2011-12-31,8.74,$0.54,16.19
2011-09-30,6.25,$0.47,13.2
2011-06-30,8.05,$0.42,19.06
2011-03-31,7.57,$0.35,21.33
2010-12-31,6.9,$0.30,22.89
2010-09-30,5.48,$0.25,21.65
2010-06-30,5.05,$0.20,25.65
2010-03-31,4.8,$0.15,31.16
2009-12-31,4.41,$0.14,31.69
