Pinnacle West Capital PE Ratio Historical Data,Pinnacle West Capital PE Ratio Historical Data,Pinnacle West Capital PE Ratio Historical Data,Pinnacle West Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,87.52,,16.18
2024-06-30,75.62,$5.41,13.98
2024-03-31,73.12,$4.59,15.93
2023-12-31,69.4,$4.41,15.74
2023-09-30,70.35,$4.20,16.75
2023-06-30,76.97,$3.58,21.5
2023-03-31,74.06,$4.09,18.11
2022-12-31,70.25,$4.27,16.45
2022-09-30,58.84,$4.72,12.47
2022-06-30,65.93,$4.84,13.62
2022-03-31,69.59,$5.30,13.13
2021-12-31,62.14,$5.47,11.36
2021-09-30,62.89,$5.06,12.43
2021-06-30,70.54,$5.13,13.75
2021-03-31,69.33,$4.93,14.06
2020-12-31,67.39,$4.88,13.81
2020-09-30,62.2,$5.62,11.07
2020-06-30,60.58,$5.32,11.39
2020-03-31,61.99,$4.89,12.68
2019-12-31,72.98,$4.78,15.27
2019-09-30,78.12,$4.44,17.59
2019-06-30,75.11,$4.47,16.8
2019-03-31,75.71,$4.67,16.21
2018-12-31,66.93,$4.54,14.74
2018-09-30,61.65,$4.50,13.7
2018-06-30,62.19,$4.16,14.95
2018-03-31,61.07,$4.17,14.65
2017-12-31,64.63,$4.35,14.86
2017-09-30,63.65,$4.63,13.75
2017-06-30,63.62,$4.52,14.08
2017-03-31,61.82,$4.11,15.04
2016-12-31,57.36,$3.94,14.56
2016-09-30,55.38,$3.84,14.42
2016-06-30,58.61,$3.79,15.46
2016-03-31,53.81,$3.81,14.12
2015-12-31,45.77,$3.91,11.71
2015-09-30,45.09,$3.59,12.56
2015-06-30,39.6,$3.49,11.35
2015-03-31,43.95,$3.58,12.28
2014-12-31,46.71,$3.58,13.05
2014-09-30,37.0,$3.75,9.87
2014-06-30,38.76,$3.59,10.8
2014-03-31,36.26,$3.58,10.13
2013-12-31,34.73,$3.66,9.49
2013-09-30,35.57,$3.64,9.77
2013-06-30,35.71,$3.81,9.37
2013-03-31,36.94,$3.74,9.88
2012-12-31,32.2,$3.44,9.36
2012-09-30,33.01,$3.35,9.85
2012-06-30,32.04,$3.46,9.26
2012-03-31,29.34,$3.14,9.34
2011-12-31,29.19,$3.08,9.48
2011-09-30,25.72,$3.04,8.46
2011-06-30,26.38,$2.86,9.22
2011-03-31,25.01,$3.14,7.97
2010-12-31,23.92,$3.22,7.43
2010-09-30,23.52,$2.85,8.25
2010-06-30,20.44,$2.55,8.02
2010-03-31,20.92,$2.16,9.68
2009-12-31,19.99,$0.67,29.84
