Weyerhaeuser PE Ratio Historical Data,Weyerhaeuser PE Ratio Historical Data,Weyerhaeuser PE Ratio Historical Data,Weyerhaeuser PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,30.49,,25.84
2024-06-30,28.21,$1.18,23.9
2023-12-31,34.2,$1.15,29.74
2023-09-30,29.98,$0.87,34.46
2023-06-30,32.57,$0.70,46.53
2023-03-31,29.09,$0.81,35.92
2022-12-31,28.96,$1.66,17.44
2024-03-31,35.68,$2.67,13.36
2022-09-30,26.53,$3.06,8.67
2022-06-30,30.61,$3.28,9.33
2022-03-31,34.86,$3.59,9.71
2021-12-31,36.36,$3.47,10.48
2021-09-30,30.84,$3.31,9.32
2021-06-30,29.7,$3.05,9.74
2021-03-31,30.58,$1.78,17.18
2020-12-31,28.65,$1.07,26.78
2020-09-30,24.23,$0.66,36.71
2020-06-30,19.08,$0.41,46.54
2020-03-31,14.4,$0.48,30.0
2019-12-31,25.34,$-0.11,0.0
2019-09-30,22.97,$-0.21,0.0
2019-06-30,21.57,$0.00,0.0
2019-03-31,21.26,$0.25,85.02
2018-12-31,17.4,$0.99,17.58
2018-09-30,25.69,$1.47,17.48
2018-06-30,28.74,$1.30,22.11
2018-03-31,27.36,$0.91,30.07
2017-12-31,27.31,$1.29,21.17
2017-09-30,26.12,$1.23,21.24
2017-06-30,25.48,$1.27,20.06
2016-12-31,22.47,$1.35,16.64
2016-09-30,23.6,$0.73,32.34
2016-06-30,21.79,$0.78,27.93
2016-03-31,22.45,$0.83,27.05
2015-12-31,21.48,$0.89,24.14
2015-09-30,19.38,$1.09,17.78
2015-06-30,22.08,$2.89,7.64
2015-03-31,23.03,$3.10,7.43
2014-12-31,24.72,$3.24,7.63
2014-09-30,21.76,$3.00,7.25
2014-06-30,22.41,$1.12,20.01
2014-03-31,19.73,$1.00,19.73
2013-12-31,21.07,$0.95,22.18
2013-09-30,18.97,$1.14,16.64
2013-06-30,18.73,$1.09,17.18
2013-03-31,20.5,$0.90,22.77
2012-12-31,18.07,$0.72,25.09
2012-09-30,16.87,$0.58,29.09
2012-06-30,14.34,$0.65,22.07
2012-03-31,13.96,$0.51,27.37
2011-12-31,11.8,$0.75,15.74
2011-09-30,9.75,$0.95,10.26
2011-06-30,13.59,$4.16,3.27
2011-03-31,15.19,$4.21,3.61
2010-12-31,11.62,$3.85,3.02
2010-09-30,9.64,$3.19,3.02
2010-06-30,8.09,$-0.31,0.0
2010-03-31,10.4,$-0.59,0.0
2009-12-31,9.9,$-1.06,0.0
2009-09-30,8.4,$-0.51,0.0
