FMC PE Ratio Historical Data,FMC PE Ratio Historical Data,FMC PE Ratio Historical Data,FMC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,64.58,,5.83
2024-06-30,57.55,$11.07,5.2
2024-03-31,63.06,$8.96,7.04
2023-12-31,61.85,$10.53,5.87
2023-09-30,65.1,$3.93,16.56
2023-06-30,100.54,$4.91,20.48
2023-03-31,117.03,$5.73,20.42
2022-12-31,119.02,$5.82,20.45
2022-09-30,100.34,$5.17,19.41
2022-06-30,101.08,$5.44,18.58
2022-03-31,123.67,$5.94,20.82
2021-12-31,102.88,$5.70,18.05
2021-09-30,85.31,$4.56,18.71
2021-06-30,100.29,$4.19,23.94
2021-03-31,102.08,$4.04,25.27
2020-12-31,105.61,$4.22,25.03
2020-09-30,96.91,$3.82,25.37
2020-06-30,90.78,$3.66,24.8
2020-03-31,74.1,$3.57,20.76
2019-12-31,90.07,$3.61,24.95
2019-09-30,78.77,$3.87,20.35
2019-06-30,74.17,$3.72,19.94
2019-03-31,68.36,$3.36,20.35
2018-12-31,65.82,$3.70,17.79
2018-09-30,77.16,$7.40,10.43
2018-06-30,78.81,$7.27,10.84
2018-03-31,67.52,$6.87,9.83
2017-12-31,83.28,$3.99,20.87
2017-09-30,78.44,$0.17,461.42
2017-06-30,64.04,$0.35,182.97
2017-03-31,60.87,$0.28,217.4
2016-12-31,49.34,$1.56,31.63
2016-09-30,42.05,$-0.09,0.0
2016-06-30,40.15,$-0.70,0.0
2016-03-31,34.87,$4.33,8.05
2015-12-31,33.66,$3.62,9.3
2015-09-30,29.05,$5.72,5.08
2015-06-30,44.8,$6.16,7.27
2015-03-31,48.65,$1.45,33.55
2014-12-31,48.32,$2.29,21.1
2014-09-30,48.33,$1.92,25.17
2014-06-30,60.01,$1.63,36.82
2014-03-31,64.4,$1.68,38.33
2013-12-31,63.35,$2.13,29.74
2013-09-30,60.11,$2.67,22.51
2013-06-30,51.08,$3.19,16.01
2013-03-31,47.6,$3.09,15.41
2012-12-31,48.73,$3.01,16.22
2012-09-30,46.01,$2.82,16.34
2012-06-30,44.36,$2.77,16.01
2012-03-31,43.82,$2.76,15.91
2011-12-31,35.56,$2.55,13.94
2011-09-30,28.53,$1.63,17.5
2011-06-30,35.41,$1.59,22.27
2011-03-31,34.9,$1.30,26.95
2010-12-31,32.77,$1.18,27.89
2010-09-30,28.02,$1.97,14.22
2010-06-30,23.48,$1.60,14.72
2010-03-31,24.7,$1.62,15.29
2009-12-31,22.7,$1.56,14.6
