Chubb PE Ratio Historical Data,Chubb PE Ratio Historical Data,Chubb PE Ratio Historical Data,Chubb PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,284.18,,12.01
2024-06-30,255.08,$23.67,10.78
2024-03-31,258.22,$22.53,11.46
2023-12-31,224.46,$21.83,10.28
2023-09-30,205.96,$16.93,12.17
2023-06-30,189.74,$13.92,13.63
2023-03-31,190.48,$12.46,15.29
2022-12-31,215.46,$12.52,17.21
2022-09-30,176.95,$14.34,12.34
2022-06-30,190.43,$16.58,11.49
2022-03-31,206.3,$18.78,10.99
2021-12-31,185.74,$19.26,9.64
2021-09-30,166.01,$19.65,8.45
2021-06-30,151.43,$18.10,8.37
2021-03-31,149.76,$12.31,12.17
2020-12-31,145.24,$7.79,18.64
2020-09-30,109.02,$5.02,21.72
2020-06-30,118.09,$4.77,24.76
2020-03-31,103.54,$8.00,12.94
2019-12-31,143.21,$9.70,14.76
2019-09-30,147.82,$7.89,18.73
2019-06-30,134.22,$8.15,16.47
2019-03-31,127.02,$8.41,15.1
2018-12-31,116.51,$8.46,13.77
2018-09-30,119.83,$10.97,10.92
2018-06-30,113.3,$8.18,13.85
2018-03-31,121.29,$8.19,14.81
2017-12-31,128.93,$8.20,15.72
2017-09-30,125.16,$8.34,15.01
2017-06-30,127.01,$11.37,11.17
2017-03-31,118.46,$10.14,11.68
2016-12-31,114.29,$8.81,12.97
2016-09-30,108.13,$7.48,14.46
2016-06-30,111.87,$6.22,17.99
2016-03-31,101.41,$7.55,13.43
2015-12-31,98.9,$8.62,11.47
2015-09-30,87.03,$8.20,10.61
2015-06-30,85.02,$8.90,9.55
2015-03-31,92.62,$8.31,11.15
2014-12-31,94.88,$8.40,11.3
2014-09-30,86.11,$9.64,8.93
2014-06-30,84.1,$9.98,8.43
2014-03-31,80.34,$10.29,7.81
2013-12-31,83.43,$10.92,7.64
2013-09-30,75.06,$10.24,7.33
2013-06-30,70.69,$9.44,7.49
2013-03-31,69.94,$7.81,8.96
2012-12-31,62.39,$7.88,7.92
2012-09-30,58.74,$7.86,7.47
2012-06-30,56.85,$5.91,9.62
2012-03-31,56.14,$6.72,8.35
2011-12-31,53.08,$4.64,11.44
2011-09-30,45.87,$5.36,8.56
2011-06-30,49.54,$7.42,6.68
2011-03-31,48.43,$7.63,6.35
2010-12-31,46.36,$9.09,5.1
2010-09-30,43.15,$8.98,4.8
2010-06-30,37.68,$8.47,4.45
2010-03-31,38.28,$8.07,4.74
2009-12-31,36.67,$7.54,4.86
