Domino's Pizza Inc PE Ratio Historical Data,Domino's Pizza Inc PE Ratio Historical Data,Domino's Pizza Inc PE Ratio Historical Data,Domino's Pizza Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,414.21,,26.27
2024-06-30,516.33,$15.77,32.74
2023-12-31,409.65,$14.67,27.92
2023-09-30,375.29,$14.62,25.67
2023-06-30,332.87,$14.02,23.74
2023-03-31,324.55,$13.73,23.64
2022-12-31,339.47,$13.62,24.92
2024-03-31,495.45,$11.69,42.38
2022-09-30,303.09,$12.36,24.52
2022-06-30,379.55,$12.81,29.63
2022-03-31,395.24,$13.05,30.29
2021-12-31,546.46,$13.55,40.33
2021-09-30,461.03,$13.15,35.06
2021-06-30,450.07,$12.40,36.3
2021-03-31,354.1,$12.33,28.72
2020-12-31,368.23,$12.40,29.7
2020-09-30,407.56,$11.67,34.92
2020-06-30,353.34,$11.23,31.46
2020-03-31,309.31,$10.43,29.66
2019-12-31,279.71,$9.56,29.26
2019-09-30,232.37,$9.06,25.65
2019-06-30,263.68,$8.96,29.43
2019-03-31,243.99,$8.55,28.54
2018-12-31,233.82,$8.35,28.0
2018-09-30,277.35,$7.82,35.47
2018-06-30,264.95,$7.05,37.58
2018-03-31,218.87,$6.59,33.21
2017-12-31,176.65,$6.07,29.1
2017-09-30,185.14,$4.94,37.48
2017-06-30,196.77,$4.74,41.51
2016-12-31,147.44,$4.31,34.21
2016-09-30,140.27,$4.01,34.98
2016-06-30,121.05,$4.31,28.09
2016-03-31,121.13,$4.00,30.28
2015-12-31,101.9,$3.92,25.99
2017-03-31,171.06,$3.55,48.19
2015-09-30,98.56,$3.14,31.39
2015-06-30,103.28,$3.10,33.32
2015-03-31,91.33,$2.96,30.85
2014-12-31,85.26,$2.86,29.81
2014-09-30,69.5,$2.79,24.91
2014-06-30,65.79,$2.69,24.46
2014-03-31,69.04,$2.59,26.66
2013-12-31,62.28,$2.47,25.22
2013-09-30,60.59,$2.33,26.0
2013-06-30,51.69,$2.24,23.08
2013-03-31,45.57,$2.14,21.29
2012-12-31,38.43,$1.90,20.22
2012-09-30,33.26,$1.78,18.69
2012-06-30,27.27,$1.70,16.04
2012-03-31,32.03,$1.63,19.65
2011-12-31,27.69,$1.71,16.19
2011-09-30,22.23,$1.58,14.07
2011-06-30,20.59,$1.49,13.82
2011-03-31,15.03,$1.46,10.3
2010-12-31,13.01,$1.44,9.03
2010-09-30,10.78,$1.46,7.39
2010-06-30,9.22,$1.50,6.14
2010-03-31,11.13,$1.38,8.06
2009-12-31,6.84,$1.38,4.95
