Becton Dickinson PE Ratio Historical Data,Becton Dickinson PE Ratio Historical Data,Becton Dickinson PE Ratio Historical Data,Becton Dickinson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,242.41,,49.88
2024-06-30,233.71,$4.86,48.09
2024-03-31,246.47,$4.54,54.29
2023-12-31,241.9,$4.22,57.32
2023-09-30,255.44,$4.18,61.11
2023-06-30,259.97,$4.99,52.1
2023-03-31,242.87,$5.13,47.34
2022-09-30,216.98,$5.88,36.9
2022-06-30,239.25,$5.80,41.25
2022-03-31,250.91,$6.32,39.7
2021-12-31,236.43,$6.54,36.15
2021-09-30,230.29,$5.20,44.29
2022-12-31,248.53,$7.71,32.23
2021-06-30,227.11,$6.37,35.65
2021-03-31,226.29,$5.62,40.27
2020-12-31,232.08,$5.21,44.54
2020-09-30,215.06,$2.73,78.78
2020-06-30,220.41,$2.78,79.28
2020-03-31,210.99,$3.32,63.55
2019-12-31,248.88,$2.72,91.5
2019-09-30,230.78,$3.90,59.17
2019-06-30,229.24,$2.85,80.44
2019-03-31,226.43,$3.37,67.19
2018-12-31,203.66,$3.25,62.67
2018-09-30,235.14,$0.44,534.41
2018-06-30,215.19,$2.32,92.76
2018-03-31,194.03,$-0.46,0.0
2017-12-31,191.02,$1.31,145.82
2017-09-30,174.26,$4.65,37.48
2017-06-30,172.88,$3.50,49.39
2017-03-31,161.93,$6.05,26.76
2016-12-31,145.56,$6.03,24.14
2016-09-30,157.32,$4.51,34.88
2016-06-30,147.9,$5.26,28.12
2016-03-31,131.89,$3.75,35.17
2015-12-31,133.26,$3.27,40.75
2015-09-30,114.24,$3.41,33.5
2015-06-30,121.44,$4.10,29.62
2015-03-31,122.58,$5.46,22.45
2014-12-31,118.31,$5.83,20.29
2014-09-30,96.34,$6.00,16.06
2014-06-30,99.67,$4.93,20.22
2014-03-31,98.2,$4.80,20.46
2013-12-31,92.23,$4.74,19.46
2013-09-30,83.07,$6.50,12.78
2013-06-30,81.68,$7.47,10.93
2013-03-31,78.61,$7.54,10.43
2012-12-31,63.93,$7.54,8.48
2012-09-30,63.82,$5.62,11.36
2012-06-30,60.37,$5.55,10.88
2012-03-31,62.33,$5.49,11.35
2011-12-31,59.62,$5.48,10.88
2011-09-30,58.15,$5.63,10.33
2011-06-30,67.99,$5.95,11.43
2011-03-31,62.52,$5.71,10.95
2010-12-31,66.03,$5.57,11.85
2010-09-30,57.6,$5.51,10.45
2010-06-30,52.28,$5.12,10.21
2010-03-31,60.55,$5.22,11.6
2009-12-31,60.36,$5.04,11.98
