Public Service Enterprise Group PE Ratio Historical Data,Public Service Enterprise Group PE Ratio Historical Data,Public Service Enterprise Group PE Ratio Historical Data,Public Service Enterprise Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,80.75,,24.47
2024-06-30,73.7,$3.30,22.33
2024-03-31,66.78,$3.61,18.5
2023-12-31,60.59,$5.13,11.81
2023-09-30,55.88,$5.61,9.96
2023-06-30,60.9,$5.56,10.95
2023-03-31,60.19,$4.64,12.97
2022-12-31,58.48,$2.06,28.39
2022-09-30,53.19,$1.36,39.11
2022-06-30,59.39,$-1.96,0.0
2022-03-31,65.17,$-2.57,0.0
2021-12-31,61.62,$-1.29,0.0
2021-09-30,55.79,$-1.32,0.0
2021-06-30,54.29,$2.92,18.59
2021-03-31,54.26,$4.16,13.04
2020-12-31,52.07,$3.76,13.85
2020-09-30,48.63,$3.77,12.9
2020-06-30,43.13,$3.42,12.61
2020-03-31,39.06,$2.83,13.8
2019-12-31,50.86,$3.33,15.27
2019-09-30,53.04,$2.86,18.55
2019-06-30,49.87,$2.88,17.31
2019-03-31,49.98,$3.11,16.07
2018-12-31,43.44,$2.83,15.35
2018-09-30,43.7,$4.32,10.12
2018-06-30,44.44,$4.29,10.36
2018-03-31,40.88,$3.98,10.27
2017-12-31,41.5,$3.10,13.39
2017-09-30,36.97,$1.03,35.89
2017-06-30,34.06,$0.89,38.27
2017-03-31,34.78,$1.04,33.45
2016-12-31,34.08,$1.75,19.47
2016-09-30,32.2,$2.54,12.68
2016-06-30,35.51,$2.77,12.82
2016-03-31,35.58,$3.08,11.55
2015-12-31,28.94,$3.30,8.77
2015-09-30,31.21,$3.64,8.57
2015-06-30,28.79,$3.64,7.91
2015-03-31,30.43,$3.38,9.0
2014-12-31,29.77,$2.99,9.95
2014-09-30,26.53,$2.44,10.87
2014-06-30,28.77,$2.34,12.29
2014-03-31,26.64,$2.58,10.33
2013-12-31,22.15,$2.45,9.04
2013-09-30,22.52,$2.50,9.01
2013-06-30,22.09,$2.41,9.16
2013-03-31,22.97,$2.17,10.58
2012-12-31,20.24,$2.51,8.07
2012-09-30,21.04,$2.78,7.57
2012-06-30,21.01,$2.68,7.84
2012-03-31,19.57,$2.89,6.77
2011-12-31,20.86,$2.96,7.05
2011-09-30,20.86,$2.81,7.42
2011-06-30,20.2,$3.35,6.03
2011-03-31,19.29,$3.16,6.1
2010-12-31,19.27,$3.09,6.24
2010-09-30,19.82,$3.22,6.16
2010-06-30,18.58,$3.06,6.07
2010-03-31,17.31,$3.23,5.36
2009-12-31,19.28,$3.14,6.14
