Lockheed Martin PE Ratio Historical Data,Lockheed Martin PE Ratio Historical Data,Lockheed Martin PE Ratio Historical Data,Lockheed Martin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,568.1,,20.62
2024-06-30,467.1,$27.55,16.95
2024-03-31,454.87,$27.33,16.64
2023-12-31,449.93,$27.55,16.33
2023-09-30,403.14,$27.37,14.73
2023-06-30,450.81,$27.35,16.48
2023-03-31,459.8,$27.16,16.93
2022-12-31,470.21,$28.02,16.78
2022-09-30,371.06,$22.83,16.25
2022-03-31,418.53,$22.64,18.49
2021-12-31,334.84,$22.76,14.71
2021-09-30,322.41,$21.67,14.88
2021-06-30,350.94,$20.62,17.02
2021-03-31,340.42,$20.15,16.89
2020-12-31,324.49,$19.38,16.74
2022-06-30,410.28,$19.08,21.5
2020-09-30,347.88,$23.21,14.99
2020-06-30,329.19,$22.82,14.43
2020-03-31,303.88,$22.03,13.79
2019-12-31,346.85,$21.94,15.81
2019-09-30,345.33,$21.04,16.41
2019-06-30,320.02,$20.52,15.6
2019-03-31,262.52,$19.57,13.41
2018-12-31,227.39,$17.60,12.92
2018-09-30,298.26,$10.96,27.21
2018-06-30,253.12,$9.06,27.94
2018-03-31,287.7,$8.24,34.91
2017-12-31,271.79,$6.83,39.79
2017-09-30,261.04,$12.43,21.0
2017-06-30,232.17,$17.12,13.56
2017-03-31,222.35,$17.21,12.92
2016-12-31,206.28,$17.18,12.01
2016-09-30,196.51,$16.84,11.67
2016-06-30,202.04,$11.68,17.3
2016-03-31,179.1,$11.30,15.85
2015-12-31,174.26,$11.46,15.21
2015-09-30,165.16,$11.27,14.65
2015-06-30,147.02,$11.26,13.06
2015-03-31,159.25,$11.08,14.37
2014-12-31,149.98,$11.21,13.38
2014-09-30,141.24,$9.89,14.28
2014-06-30,123.26,$9.79,12.59
2014-03-31,124.17,$9.67,12.84
2013-12-31,112.16,$9.13,12.28
2013-09-30,95.35,$9.36,10.19
2013-06-30,80.32,$8.91,9.01
2013-03-31,70.72,$8.65,8.18
2012-12-31,66.75,$8.35,7.99
2012-09-30,66.72,$8.71,7.66
2012-06-30,61.54,$8.60,7.16
2012-03-31,62.74,$8.36,7.51
2011-12-31,55.86,$7.83,7.13
2011-09-30,49.51,$8.47,5.85
2011-06-30,54.63,$7.94,6.88
2011-03-31,53.73,$8.02,6.7
2010-12-31,46.28,$7.97,5.81
2010-09-30,46.68,$7.41,6.3
2010-06-30,48.35,$7.91,6.11
2010-03-31,53.59,$7.57,7.08
2009-12-31,48.13,$7.80,6.17
