Hewlett Packard Enterprise PE Ratio Historical Data,Hewlett Packard Enterprise PE Ratio Historical Data,Hewlett Packard Enterprise PE Ratio Historical Data,Hewlett Packard Enterprise PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,19.37,,14.14
2024-04-30,16.9,$1.37,12.34
2024-01-31,15.09,$1.45,10.41
2023-10-31,15.06,$1.54,9.78
2023-07-31,16.89,$0.82,20.6
2023-04-30,13.82,$0.78,17.72
2023-01-31,15.44,$0.65,23.75
2022-10-31,13.56,$0.66,20.54
2022-07-31,13.41,$2.80,4.79
2022-04-30,14.39,$2.78,5.18
2022-01-31,15.14,$2.78,5.45
2021-10-31,13.48,$2.56,5.26
2021-07-31,13.23,$0.77,17.18
2021-04-30,14.5,$0.49,29.6
2021-01-31,11.08,$-0.34,0.0
2020-10-31,7.68,$-0.26,0.0
2020-07-31,8.67,$-0.02,0.0
2020-04-30,8.74,$-0.05,0.0
2020-01-31,11.97,$0.89,13.45
2019-10-31,14.0,$0.77,18.18
2019-07-31,12.26,$-0.11,0.0
2019-04-30,13.38,$0.20,66.91
2019-01-31,13.2,$0.39,33.84
2018-10-31,12.81,$1.15,11.14
2018-07-31,12.88,$1.99,6.47
2018-04-30,14.12,$1.80,7.85
2018-01-31,13.53,$0.94,14.4
2017-10-31,11.43,$0.21,54.41
2017-07-31,14.3,$0.07,204.33
2017-04-30,15.16,$1.29,11.75
2017-01-31,13.84,$1.84,7.52
2016-10-31,13.67,$1.83,7.47
