Regency Centers PE Ratio Historical Data,Regency Centers PE Ratio Historical Data,Regency Centers PE Ratio Historical Data,Regency Centers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,72.69,,34.78
2024-06-30,62.2,$2.09,29.76
2024-03-31,59.9,$2.05,29.22
2023-12-31,65.54,$2.04,32.13
2023-09-30,57.57,$2.13,27.03
2023-06-30,59.22,$2.14,27.67
2023-03-31,58.03,$2.25,25.79
2022-12-31,58.64,$2.82,20.8
2022-09-30,50.02,$2.65,18.87
2022-06-30,54.51,$2.83,19.26
2022-03-31,64.85,$2.78,23.33
2021-12-31,67.84,$2.11,32.15
2021-09-30,60.1,$1.95,30.82
2021-06-30,56.69,$1.33,42.62
2021-03-31,49.73,$0.88,56.52
2020-12-31,39.58,$0.26,152.25
2020-09-30,32.61,$0.27,120.76
2020-06-30,38.81,$0.54,71.87
2020-03-31,31.99,$0.74,43.22
2019-12-31,52.02,$1.43,36.38
2019-09-30,56.79,$1.65,34.42
2019-06-30,54.05,$1.72,31.43
2019-03-31,54.18,$1.69,32.06
2018-12-31,46.69,$1.46,31.98
2018-09-30,51.02,$1.50,34.01
2018-06-30,48.55,$1.44,33.72
2018-03-31,45.68,$1.44,31.72
2017-12-31,53.07,$0.87,61.0
2017-09-30,47.22,$0.90,52.46
2017-06-30,47.29,$0.60,78.82
2017-03-31,49.69,$0.67,74.16
2016-12-31,51.23,$1.42,36.08
2016-09-30,57.17,$1.07,53.43
2016-06-30,61.39,$1.59,38.61
2016-03-31,54.53,$1.58,34.51
2015-12-31,49.27,$1.36,36.23
2015-09-30,44.63,$1.97,22.65
2015-06-30,42.03,$1.92,21.89
2015-03-31,48.13,$1.86,25.88
2014-12-31,44.78,$1.80,24.88
2014-09-30,37.51,$1.51,24.84
2014-06-30,38.48,$1.37,28.09
2014-03-31,34.98,$1.44,24.29
2013-12-31,31.42,$1.40,22.44
2013-09-30,32.5,$0.49,66.33
2013-06-30,33.85,$0.24,141.04
2013-03-31,34.97,$-0.05,0.0
2012-12-31,30.86,$-0.08,0.0
2012-09-30,31.6,$0.42,75.24
2012-06-30,30.56,$0.38,80.41
2012-03-31,28.29,$0.46,61.5
2011-12-31,23.67,$0.34,69.62
2011-09-30,21.96,$-0.19,0.0
2011-06-30,27.01,$-0.16,0.0
2011-03-31,26.44,$-0.22,0.0
2010-12-31,25.41,$-0.09,0.0
2010-09-30,23.48,$0.66,35.58
2010-06-30,20.21,$-0.51,0.0
2010-03-31,21.75,$-0.82,0.0
2009-12-31,20.07,$-0.69,0.0
