AvalonBay Communities PE Ratio Historical Data,AvalonBay Communities PE Ratio Historical Data,AvalonBay Communities PE Ratio Historical Data,AvalonBay Communities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,225.73,,38.19
2024-06-30,206.89,$5.91,35.01
2024-03-31,184.05,$6.72,27.39
2023-12-31,183.99,$6.55,28.09
2023-09-30,167.32,$6.57,25.47
2023-06-30,182.64,$8.89,20.54
2023-03-31,160.76,$7.29,22.05
2022-12-31,152.96,$8.11,18.86
2022-09-30,172.74,$8.79,19.65
2022-06-30,180.59,$5.82,31.03
2022-03-31,229.04,$8.04,28.49
2021-12-31,231.47,$7.19,32.19
2021-09-30,200.4,$7.23,27.72
2021-06-30,188.69,$7.72,24.44
2021-03-31,165.58,$5.72,28.95
2020-12-31,142.76,$5.89,24.24
2020-09-30,131.57,$4.65,28.29
2020-06-30,134.78,$5.60,24.07
2020-03-31,126.95,$5.60,22.67
2019-12-31,179.02,$5.64,31.74
2019-09-30,182.49,$7.23,25.24
2019-06-30,170.98,$6.62,25.83
2019-03-31,167.66,$7.25,23.12
2018-12-31,144.28,$7.74,18.64
2018-09-30,148.9,$6.67,22.32
2018-06-30,140.13,$6.48,21.62
2017-12-31,142.93,$6.36,22.47
2017-09-30,141.81,$6.40,22.16
2017-06-30,151.53,$5.71,26.54
2017-03-31,143.71,$7.10,20.24
2016-12-31,137.6,$6.82,20.18
2018-03-31,132.93,$6.79,19.58
2016-09-30,137.07,$6.89,19.89
2016-06-30,138.01,$5.83,23.67
2016-03-31,144.42,$5.68,25.43
2015-12-31,138.82,$5.51,25.19
2015-09-30,130.92,$5.46,23.98
2015-06-30,118.84,$5.76,20.63
2015-03-31,128.53,$5.68,22.63
2014-12-31,119.66,$5.21,22.97
2014-09-30,102.53,$6.08,16.86
2014-06-30,102.58,$4.17,24.6
2014-03-31,93.96,$3.24,29.0
2013-12-31,83.85,$2.78,30.16
2013-09-30,89.33,$2.02,44.22
2013-06-30,94.05,$2.99,31.45
2013-03-31,87.61,$4.34,20.19
2012-12-31,93.0,$4.31,21.58
2012-09-30,92.61,$6.52,14.2
2012-06-30,95.66,$6.12,15.63
2012-03-31,94.9,$4.98,19.06
2011-12-31,87.07,$4.69,18.57
2011-09-30,75.52,$1.58,47.8
2011-06-30,84.38,$1.70,49.63
2010-12-31,72.9,$2.09,34.88
2010-09-30,66.79,$2.18,30.64
2010-06-30,59.49,$2.24,26.56
2010-03-31,54.52,$2.35,23.2
2009-12-31,51.32,$1.69,30.36
2011-03-31,78.36,$1.88,41.68
