Ecolab PE Ratio Historical Data,Ecolab PE Ratio Historical Data,Ecolab PE Ratio Historical Data,Ecolab PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,253.18,,44.57
2024-06-30,238.0,$5.68,41.9
2023-12-31,197.39,$4.79,41.21
2023-09-30,168.1,$4.31,39.0
2023-06-30,184.7,$4.33,42.65
2023-03-31,163.29,$4.39,37.2
2022-12-31,143.1,$4.65,30.77
2024-03-31,230.36,$4.32,53.32
2022-09-30,141.45,$3.93,35.99
2022-06-30,150.12,$3.84,39.09
2022-03-31,171.79,$3.84,44.74
2021-12-31,227.55,$3.91,58.2
2021-09-30,201.91,$3.91,51.64
2021-06-30,198.92,$3.64,54.65
2021-03-31,206.28,$-4.42,0.0
2020-12-31,208.02,$-4.12,0.0
2020-09-30,191.71,$-3.69,0.0
2020-06-30,190.42,$-2.95,0.0
2020-03-31,148.8,$5.29,28.13
2019-12-31,183.77,$5.33,34.48
2019-09-30,188.1,$5.21,36.1
2019-06-30,187.08,$5.10,36.68
2019-03-31,166.88,$5.04,33.11
2018-12-31,138.92,$4.87,28.53
2018-09-30,147.36,$5.45,27.04
2018-06-30,131.55,$5.31,24.77
2018-03-31,128.13,$5.12,25.03
2017-12-31,125.05,$5.14,24.33
2017-09-30,119.5,$4.45,26.85
2017-06-30,123.0,$4.38,28.08
2017-03-31,115.82,$4.24,27.31
2016-12-31,107.99,$4.15,26.02
2016-09-30,111.8,$3.60,31.05
2016-06-30,108.61,$3.19,34.05
2016-03-31,101.82,$3.32,30.67
2015-12-31,104.09,$3.32,31.35
2015-09-30,99.54,$3.73,26.69
2015-06-30,102.27,$4.06,25.19
2015-03-31,103.16,$4.08,25.28
2014-12-31,94.0,$3.93,23.92
2014-09-30,102.94,$3.76,27.38
2014-06-30,99.57,$3.57,27.89
2014-03-31,96.33,$3.24,29.73
2013-12-31,92.78,$3.15,29.45
2013-09-30,87.64,$2.99,29.31
2013-06-30,75.42,$2.79,27.03
2013-03-31,70.79,$2.72,26.03
2012-12-31,63.29,$2.36,26.82
2012-09-30,56.86,$1.93,29.46
2012-06-30,59.94,$1.78,33.67
2012-03-31,53.82,$1.69,31.85
2011-12-31,50.24,$1.92,26.17
2011-09-30,42.34,$2.14,19.78
2011-06-30,48.66,$2.23,21.82
2011-03-31,43.89,$2.25,19.51
2010-12-31,43.22,$2.25,19.21
2010-09-30,43.34,$2.17,19.97
2010-06-30,38.24,$2.03,18.84
2010-03-31,37.3,$1.89,19.74
2009-12-31,37.7,$1.73,21.79
