QUALCOMM PE Ratio Historical Data,QUALCOMM PE Ratio Historical Data,QUALCOMM PE Ratio Historical Data,QUALCOMM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,175.3,,22.71
2024-06-30,199.18,$7.72,25.8
2024-03-31,168.6,$7.44,22.66
2023-12-31,143.3,$6.90,20.77
2023-09-30,109.35,$6.42,17.03
2023-06-30,116.39,$7.64,15.23
2023-03-31,123.86,$9.33,13.28
2022-12-31,106.09,$10.38,10.22
2022-09-30,108.39,$10.85,9.99
2022-06-30,121.85,$10.08,12.09
2022-03-31,145.0,$8.32,17.43
2021-09-30,121.42,$7.87,15.43
2021-06-30,133.93,$8.00,16.74
2021-03-31,123.61,$9.21,13.42
2020-12-31,141.3,$8.42,16.78
2020-09-30,108.68,$6.71,16.2
2021-12-31,172.82,$4.93,35.05
2020-06-30,83.79,$2.37,35.36
2020-03-31,61.67,$3.38,18.25
2019-12-31,79.83,$3.52,22.68
2019-09-30,68.5,$3.59,19.08
2019-06-30,67.78,$2.82,24.04
2019-03-31,50.35,$1.89,26.64
2018-12-31,49.68,$1.58,31.45
2018-09-30,62.21,$-3.32,0.0
2018-06-30,48.04,$-2.86,0.0
2018-03-31,46.93,$-3.10,0.0
2017-12-31,53.77,$-2.84,0.0
2017-09-30,43.18,$1.65,26.17
2017-06-30,45.49,$2.61,17.43
2017-03-31,46.77,$3.00,15.59
2016-12-31,52.69,$3.28,16.07
2016-09-30,54.93,$3.81,14.42
2016-06-30,42.6,$3.41,12.49
2016-03-31,40.28,$3.17,12.71
2015-12-31,39.0,$3.02,12.91
2015-09-30,41.51,$3.14,13.22
2015-06-30,47.98,$3.78,12.69
2015-03-31,52.76,$4.19,12.59
2014-09-30,56.23,$4.65,12.09
2014-06-30,59.24,$4.40,13.46
2014-03-31,58.68,$4.26,13.77
2013-12-31,54.99,$4.02,13.68
2013-09-30,49.62,$3.99,12.44
2014-12-31,56.23,$4.22,13.32
2013-06-30,44.79,$3.78,11.85
2013-03-31,48.81,$3.57,13.67
2012-12-31,44.94,$3.79,11.86
2012-09-30,45.2,$3.51,12.88
2012-06-30,40.12,$3.40,11.8
2012-03-31,48.83,$3.32,14.71
2011-12-31,39.11,$2.63,14.87
2011-09-30,34.63,$2.53,13.69
2011-06-30,40.26,$2.44,16.5
2011-03-31,38.73,$2.30,16.84
2010-12-31,34.84,$2.17,16.06
2010-09-30,31.65,$1.96,16.15
2010-06-30,22.91,$1.91,12.0
2010-03-31,29.12,$1.88,15.49
2009-12-31,31.96,$1.24,25.77
