Church & Dwight PE Ratio Historical Data,Church & Dwight PE Ratio Historical Data,Church & Dwight PE Ratio Historical Data,Church & Dwight PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,101.88,,31.35
2024-06-30,103.39,$3.25,31.81
2024-03-31,103.74,$3.15,32.93
2023-12-31,93.77,$3.04,30.84
2023-09-30,90.59,$1.75,51.77
2023-06-30,98.81,$1.80,54.9
2023-03-31,86.92,$1.67,52.05
2022-12-31,78.99,$1.68,47.02
2022-09-30,69.76,$2.99,23.33
2022-06-30,90.21,$3.15,28.64
2022-03-31,96.49,$3.26,29.6
2021-12-31,99.25,$3.31,29.99
2021-09-30,79.73,$3.26,24.46
2021-06-30,82.05,$3.19,25.72
2021-03-31,83.86,$3.07,27.32
2020-12-31,83.49,$3.11,26.85
2020-09-30,89.44,$3.10,28.85
2020-06-30,73.6,$2.87,25.64
2020-03-31,60.9,$2.67,22.81
2019-12-31,66.54,$2.45,27.16
2019-09-30,70.94,$2.44,29.07
2019-06-30,68.68,$2.40,28.62
2019-03-31,66.75,$2.34,28.53
2018-12-31,61.41,$2.27,27.05
2018-09-30,55.26,$3.30,16.74
2018-06-30,49.28,$3.24,15.21
2018-03-31,46.47,$3.04,15.29
2017-12-31,46.09,$2.92,15.78
2017-09-30,44.33,$1.74,25.48
2017-06-30,47.28,$1.69,27.98
2017-03-31,45.28,$1.83,24.81
2016-12-31,39.97,$1.75,22.9
2016-09-30,43.17,$1.74,24.88
2016-06-30,46.26,$1.72,26.97
2016-03-31,41.37,$1.57,26.43
2015-12-31,38.02,$1.54,24.77
2015-09-30,37.42,$1.52,24.7
2015-06-30,36.05,$1.49,24.2
2015-03-31,37.81,$1.54,24.55
2014-12-31,34.74,$1.51,23.08
2014-09-30,30.8,$1.44,21.39
2014-06-30,30.56,$1.40,21.91
2014-03-31,30.04,$1.38,21.85
2013-12-31,28.69,$1.39,20.64
2013-09-30,25.94,$1.35,19.21
2013-06-30,26.59,$1.30,20.46
2013-03-31,27.79,$1.28,21.8
2012-12-31,22.98,$1.23,18.76
2012-09-30,23.1,$1.16,19.92
2012-06-30,23.68,$1.10,21.53
2012-03-31,20.95,$1.11,18.96
2011-12-31,19.44,$1.06,18.3
2011-09-30,18.74,$1.01,18.65
2011-06-30,17.16,$0.98,17.6
2011-03-31,16.77,$0.95,17.7
2010-12-31,14.57,$0.94,15.54
2010-09-30,13.7,$0.96,14.27
2010-06-30,13.22,$0.97,13.7
2010-03-31,14.11,$0.91,15.51
2009-12-31,12.73,$0.85,14.94
