Procter & Gamble PE Ratio Historical Data,Procter & Gamble PE Ratio Historical Data,Procter & Gamble PE Ratio Historical Data,Procter & Gamble PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,171.54,,28.5
2024-06-30,163.94,$6.02,27.23
2024-03-31,160.26,$6.12,26.19
2023-12-31,143.83,$5.97,24.09
2023-09-30,142.26,$6.16,23.09
2023-06-30,147.07,$5.90,24.93
2023-03-31,143.22,$5.74,24.95
2022-12-31,145.06,$5.70,25.45
2022-09-30,119.97,$5.77,20.79
2022-06-30,135.76,$5.81,23.37
2022-03-31,143.46,$5.73,25.04
2021-12-31,152.76,$5.66,26.99
2021-09-30,129.74,$5.47,23.72
2021-06-30,124.44,$5.49,22.67
2021-03-31,124.1,$5.43,22.85
2020-12-31,126.73,$5.29,23.96
2020-09-30,125.89,$5.23,24.07
2020-06-30,107.63,$4.96,21.7
2020-03-31,98.36,$1.77,55.57
2019-12-31,111.02,$1.69,65.69
2019-09-30,109.86,$1.50,73.24
2019-06-30,96.23,$1.36,70.75
2019-03-31,90.67,$4.20,21.59
2018-12-31,79.47,$4.11,19.34
2018-09-30,71.32,$3.82,18.67
2018-06-30,66.29,$3.66,18.11
2018-03-31,66.69,$3.76,17.74
2017-12-31,76.7,$3.74,20.51
2017-09-30,75.38,$5.69,13.25
2017-06-30,71.65,$5.59,12.82
2017-03-31,73.3,$5.46,13.43
2016-12-31,68.06,$5.50,12.37
2016-09-30,72.08,$3.74,19.27
2016-06-30,67.47,$3.69,18.29
2016-03-31,65.06,$3.18,20.46
2015-12-31,62.23,$2.96,21.02
2015-09-30,55.87,$2.66,21.0
2015-06-30,60.27,$2.44,24.7
2015-03-31,62.61,$3.15,19.87
2014-12-31,69.11,$3.30,20.94
2014-09-30,63.05,$3.66,17.23
2014-06-30,58.7,$4.01,14.64
2014-03-31,59.73,$3.76,15.88
2013-12-31,59.87,$3.74,16.01
2013-09-30,55.17,$3.95,13.97
2013-06-30,55.77,$3.87,14.41
2013-03-31,55.39,$4.47,12.39
2012-12-31,48.41,$4.41,10.98
2012-09-30,49.06,$3.59,13.67
2012-06-30,42.95,$3.66,11.73
2012-03-31,46.74,$3.26,14.34
2011-12-31,46.02,$3.40,13.54
2011-09-30,43.24,$3.94,10.97
2011-06-30,43.15,$3.93,10.98
2011-03-31,41.47,$3.80,10.91
2010-12-31,42.99,$3.67,11.72
2010-09-30,39.78,$4.05,9.82
2010-06-30,39.47,$4.09,9.65
2010-03-31,41.32,$4.18,9.89
2009-12-31,39.31,$4.19,9.38
