Keysight Technologies PE Ratio Historical Data,Keysight Technologies PE Ratio Historical Data,Keysight Technologies PE Ratio Historical Data,Keysight Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,154.12,,51.72
2024-07-31,139.57,$2.98,46.84
2024-04-30,147.94,$4.59,32.23
2024-01-31,153.26,$5.45,28.12
2023-10-31,122.05,$5.92,20.62
2023-07-31,161.08,$6.30,25.57
2023-04-30,144.64,$6.56,22.05
2023-01-31,179.35,$6.39,28.07
2022-10-31,174.15,$6.18,28.18
2022-07-31,162.6,$6.04,26.92
2022-04-30,140.27,$5.53,25.37
2022-01-31,168.82,$5.11,33.04
2021-10-31,180.02,$4.79,37.58
2021-07-31,164.55,$4.42,37.23
2021-04-30,144.35,$3.99,36.18
2021-01-31,141.59,$3.37,42.01
2020-10-31,104.87,$3.31,31.68
2020-07-31,99.89,$3.18,31.41
2020-04-30,96.77,$3.08,31.42
2020-01-31,92.99,$3.51,26.49
2019-10-31,100.91,$3.25,31.05
2019-07-31,89.52,$1.62,55.26
2019-04-30,87.03,$1.42,61.29
2019-01-31,74.02,$0.96,77.1
2018-10-31,57.08,$0.86,66.37
2018-07-31,58.0,$1.27,45.67
2018-04-30,51.68,$0.54,95.7
2018-01-31,46.72,$0.47,99.4
2017-10-31,44.67,$0.60,74.45
2017-07-31,41.59,$1.33,31.27
2017-04-30,37.43,$1.96,19.1
2017-01-31,37.07,$2.20,16.85
2016-10-31,32.8,$1.94,16.91
2016-07-31,29.24,$3.02,9.68
2016-04-30,26.08,$2.90,8.99
2016-01-31,23.4,$2.95,7.93
2015-10-31,33.08,$2.99,11.06
2015-07-31,30.54,$1.98,15.42
