CMS Energy PE Ratio Historical Data,CMS Energy PE Ratio Historical Data,CMS Energy PE Ratio Historical Data,CMS Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,67.86,,20.82
2024-06-30,59.07,$3.26,18.12
2024-03-31,59.38,$3.28,18.1
2023-12-31,56.63,$3.01,18.81
2023-09-30,51.34,$2.54,20.21
2023-06-30,56.32,$2.50,22.53
2023-03-31,58.38,$2.33,25.06
2022-12-31,59.76,$2.85,20.97
2022-09-30,54.52,$4.47,12.2
2022-06-30,62.76,$4.55,13.79
2022-03-31,64.59,$4.66,13.86
2021-12-31,59.64,$4.66,12.8
2021-09-30,54.37,$3.01,18.06
2021-06-30,53.41,$3.13,17.06
2021-03-31,54.97,$3.00,18.32
2020-12-31,54.37,$2.64,20.59
2020-09-30,54.38,$2.68,20.29
2020-06-30,51.39,$2.65,19.39
2020-03-31,51.3,$2.50,20.52
2019-12-31,54.54,$2.40,22.72
2019-09-30,55.17,$2.19,25.19
2019-06-30,49.64,$2.05,24.21
2019-03-31,47.28,$2.21,21.39
2018-12-31,41.95,$2.32,18.08
2018-09-30,41.1,$1.93,21.3
2018-06-30,39.37,$1.95,20.19
2018-03-31,37.42,$1.79,20.91
2017-12-31,38.77,$1.64,23.64
2017-09-30,37.7,$1.93,19.53
2017-06-30,37.38,$1.99,18.78
2017-03-31,35.89,$2.11,17.01
2016-12-31,33.13,$1.99,16.65
2016-09-30,33.19,$2.09,15.88
2016-06-30,35.98,$1.95,18.45
2016-03-31,33.04,$1.75,18.88
2015-12-31,27.87,$1.89,14.75
2015-09-30,27.07,$1.86,14.55
2015-06-30,24.19,$1.67,14.49
2015-03-31,26.29,$1.72,15.29
2014-12-31,25.97,$1.74,14.93
2014-09-30,21.99,$1.76,12.49
2014-06-30,22.88,$1.88,12.17
2014-03-31,21.32,$1.87,11.4
2013-12-31,19.3,$1.65,11.7
2013-09-30,18.8,$1.53,12.29
2013-06-30,19.23,$1.62,11.87
2013-03-31,19.61,$1.70,11.53
2012-12-31,16.94,$1.42,11.93
2012-09-30,16.2,$1.32,12.27
2012-06-30,16.01,$1.30,12.31
2012-03-31,14.83,$1.31,11.32
2011-12-31,14.72,$1.58,9.32
2011-09-30,13.06,$1.52,8.59
2011-06-30,12.85,$1.52,8.45
2011-03-31,12.68,$1.46,8.69
2010-12-31,11.88,$1.28,9.28
2010-09-30,11.38,$1.21,9.41
2010-06-30,9.17,$0.99,9.26
2010-03-31,9.58,$0.99,9.68
2009-12-31,9.61,$0.95,10.12
