Targa Resources PE Ratio Historical Data,Targa Resources PE Ratio Historical Data,Targa Resources PE Ratio Historical Data,Targa Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,146.9,,30.93
2024-06-30,128.07,$4.75,26.96
2024-03-31,110.66,$4.86,22.77
2023-12-31,85.35,$3.67,23.26
2023-09-30,83.72,$3.82,21.92
2023-06-30,73.87,$3.69,20.02
2023-03-31,70.34,$3.86,18.22
2022-12-31,70.53,$3.89,18.13
2022-09-30,57.6,$1.06,54.34
2022-06-30,56.67,$0.88,64.4
2022-03-31,71.35,$-0.58,0.0
2021-12-31,49.09,$-0.11,0.0
2021-09-30,46.16,$1.30,35.51
2021-06-30,41.6,$0.80,52.0
2021-03-31,29.63,$0.86,34.45
2020-12-31,24.53,$-7.27,0.0
2020-09-30,12.96,$-7.85,0.0
2020-06-30,18.45,$-8.35,0.0
2020-03-31,6.3,$-8.74,0.0
2019-12-31,36.34,$-1.44,0.0
2019-09-30,34.94,$-1.42,0.0
2019-06-30,33.37,$-1.32,0.0
2019-03-31,34.53,$-0.79,0.0
2018-12-31,29.32,$-0.52,0.0
2018-09-30,45.01,$1.13,39.83
2018-06-30,38.87,$0.46,84.49
2018-03-31,33.9,$0.25,135.6
2017-12-31,36.61,$-0.49,0.0
2017-09-30,35.0,$-2.66,0.0
2017-06-30,32.8,$-1.98,0.0
2017-03-31,42.77,$-2.45,0.0
2016-12-31,39.41,$-1.74,0.0
2016-09-30,33.81,$-0.14,0.0
2016-06-30,28.32,$0.32,88.51
2016-03-31,19.63,$0.92,21.33
2015-12-31,17.09,$1.05,16.28
2015-09-30,32.02,$1.18,27.13
2015-06-30,54.91,$1.68,32.68
2015-03-31,58.49,$2.04,28.67
2014-12-31,64.17,$2.44,26.3
2014-09-30,81.92,$2.31,35.46
2014-06-30,83.54,$1.97,42.4
2014-03-31,59.05,$1.70,34.74
2013-12-31,52.1,$1.55,33.61
2013-09-30,42.8,$1.34,31.94
2013-06-30,37.45,$1.16,32.29
2013-03-31,39.27,$1.00,39.27
2012-12-31,30.3,$0.91,33.29
2012-09-30,28.62,$0.84,34.08
2012-06-30,24.07,$0.75,32.1
2012-03-31,25.42,$0.80,31.77
2011-12-31,22.57,$0.94,24.01
2011-09-30,16.35,$0.06,272.49
