American Electric Power PE Ratio Historical Data,American Electric Power PE Ratio Historical Data,American Electric Power PE Ratio Historical Data,American Electric Power PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,100.28,,19.98
2024-06-30,86.96,$5.02,17.32
2024-03-31,84.51,$5.39,15.68
2023-12-31,78.81,$4.25,18.54
2023-09-30,72.17,$4.36,16.55
2023-06-30,79.96,$3.86,20.71
2023-03-31,85.63,$3.87,22.13
2022-12-31,88.52,$4.51,19.63
2022-09-30,79.84,$4.83,16.53
2022-06-30,87.93,$5.09,17.27
2022-03-31,90.73,$5.23,17.35
2021-12-31,80.21,$4.98,16.11
2021-09-30,72.5,$4.79,15.14
2021-06-30,74.92,$4.71,15.91
2021-03-31,74.39,$4.60,16.17
2020-12-31,72.46,$4.44,16.32
2020-09-30,70.54,$3.87,18.23
2020-06-30,68.19,$3.85,17.71
2020-03-31,67.87,$3.73,18.2
2019-12-31,79.65,$3.89,20.48
2019-09-30,78.35,$4.32,18.14
2019-06-30,73.05,$4.00,18.26
2019-03-31,68.96,$4.14,16.66
2018-12-31,61.03,$3.90,15.65
2018-09-30,57.36,$3.97,14.45
2018-06-30,55.55,$3.90,14.24
2018-03-31,54.51,$3.59,15.18
2017-12-31,57.9,$3.87,14.96
2017-09-30,54.83,$3.82,14.35
2017-06-30,53.79,$1.16,46.37
2017-03-31,51.53,$1.42,36.29
2016-12-31,47.88,$1.24,38.62
2016-09-30,48.38,$1.44,33.6
2016-06-30,52.38,$4.06,12.9
2016-03-31,49.19,$3.92,12.55
2015-12-31,42.79,$4.19,10.21
2015-09-30,41.32,$3.62,11.41
2015-06-30,38.13,$3.57,10.68
2015-03-31,40.11,$3.49,11.49
2014-12-31,42.91,$3.35,12.81
2014-09-30,36.56,$3.67,9.96
2014-06-30,38.66,$3.55,10.89
2014-03-31,34.8,$3.44,10.12
2013-12-31,31.77,$3.04,10.45
2013-09-30,29.15,$2.38,12.25
2013-06-30,29.79,$2.49,11.97
2013-03-31,32.04,$2.55,12.57
2012-12-31,27.83,$2.60,10.7
2012-09-30,28.33,$3.19,8.88
2012-06-30,25.45,$4.12,6.18
2012-03-31,24.3,$4.10,5.93
2011-12-31,25.72,$4.03,6.38
2011-09-30,23.39,$3.76,6.22
2011-06-30,22.87,$2.99,7.65
2011-03-31,21.06,$2.54,8.29
2010-12-31,21.29,$2.53,8.42
2010-09-30,21.18,$2.66,7.96
2010-06-30,18.66,$2.43,7.68
2010-03-31,19.49,$2.82,6.91
2009-12-31,19.6,$2.99,6.55
