Fortive PE Ratio Historical Data,Fortive PE Ratio Historical Data,Fortive PE Ratio Historical Data,Fortive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,74.4,,29.88
2024-06-30,74.1,$2.49,29.76
2024-03-31,86.02,$2.53,34.0
2023-12-31,73.56,$2.44,30.15
2023-09-30,74.0,$2.33,31.76
2023-06-30,74.55,$2.25,33.13
2023-03-31,67.89,$2.14,31.73
2022-12-31,63.92,$2.10,30.44
2022-09-30,57.94,$1.91,30.34
2022-06-30,53.99,$1.80,29.99
2022-03-31,60.42,$1.80,33.57
2021-12-31,75.57,$4.72,16.01
2021-09-30,69.84,$4.88,14.31
2021-06-30,68.95,$4.79,14.4
2020-12-31,69.88,$4.38,15.95
2020-09-30,63.03,$1.53,41.2
2020-06-30,55.9,$1.19,46.98
2020-03-31,45.55,$1.42,32.08
2019-12-31,62.98,$1.81,34.8
2021-03-31,69.78,$1.72,40.57
2019-09-30,56.47,$7.62,7.41
2019-06-30,67.08,$7.70,8.71
2019-03-31,68.97,$8.07,8.55
2018-12-31,55.57,$8.38,6.63
2018-09-30,69.16,$3.16,21.89
2018-06-30,63.28,$3.28,19.29
2018-03-31,63.56,$3.13,20.31
2017-12-31,59.27,$2.96,20.02
2017-09-30,57.93,$2.65,21.86
2017-06-30,51.79,$2.54,20.39
