Hasbro PE Ratio Historical Data,Hasbro PE Ratio Historical Data,Hasbro PE Ratio Historical Data,Hasbro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,68.16,,0.0
2024-06-30,57.89,$-7.46,0.0
2024-03-31,55.3,$-10.14,0.0
2023-12-31,49.25,$-10.72,0.0
2023-09-30,62.83,$-4.01,0.0
2023-06-30,60.87,$-1.85,0.0
2023-03-31,49.86,$0.86,57.98
2022-12-31,56.0,$1.61,34.78
2022-09-30,61.23,$4.37,14.01
2022-06-30,73.7,$3.27,22.54
2021-12-31,90.23,$3.09,29.2
2021-09-30,78.54,$3.26,24.09
2021-06-30,82.64,$1.87,44.19
2021-03-31,83.47,$3.65,22.87
2020-12-31,80.64,$2.56,31.5
2022-03-31,73.16,$1.29,56.71
2020-09-30,70.73,$2.86,24.73
2020-06-30,63.5,$2.92,21.75
2020-03-31,60.05,$3.28,18.31
2019-12-31,88.05,$4.00,22.01
2019-09-30,98.27,$2.06,47.71
2019-06-30,87.01,$2.45,35.52
2019-03-31,69.54,$2.82,24.66
2018-12-31,66.0,$1.71,38.59
2018-09-30,84.8,$1.60,53.0
2018-06-30,74.0,$1.63,45.4
2018-03-31,67.1,$1.68,39.94
2017-12-31,71.91,$3.12,23.05
2017-09-30,76.8,$4.68,16.41
2017-06-30,87.21,$4.62,18.88
2017-03-31,77.63,$4.50,17.25
2016-12-31,60.13,$4.34,13.85
2016-09-30,60.95,$4.21,14.48
2016-06-30,64.12,$3.82,16.79
2016-03-31,60.79,$3.74,16.25
2015-12-31,50.81,$3.57,14.23
2015-09-30,54.09,$3.52,15.37
2015-06-30,55.76,$3.28,17.0
2015-03-31,46.84,$3.21,14.59
2014-12-31,40.42,$3.24,12.47
2014-09-30,40.12,$2.88,13.93
2014-06-30,38.37,$2.47,15.54
2014-03-31,39.92,$3.45,11.57
2013-12-31,39.16,$3.54,11.06
2012-12-31,24.94,$2.54,9.82
2012-09-30,26.0,$2.61,9.96
2012-06-30,22.85,$2.83,8.07
2012-03-31,24.53,$3.77,6.51
2011-12-31,21.12,$4.21,5.02
2013-09-30,33.31,$3.27,10.19
2011-09-30,21.43,$2.80,7.65
2011-06-30,28.65,$2.62,10.93
2011-03-31,30.35,$2.48,12.24
2010-12-31,30.39,$2.65,11.47
2010-09-30,28.52,$2.06,13.84
2013-06-30,31.4,$2.06,15.24
2010-06-30,26.18,$2.77,9.45
2010-03-31,24.23,$2.74,8.84
2009-12-31,20.16,$2.29,8.8
2009-09-30,17.32,$1.34,12.93
