Sempra Energy PE Ratio Historical Data,Sempra Energy PE Ratio Historical Data,Sempra Energy PE Ratio Historical Data,Sempra Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,82.18,,17.56
2024-06-30,76.06,$4.68,16.25
2024-03-31,71.25,$4.52,15.78
2023-12-31,73.47,$4.79,15.34
2023-09-30,66.33,$4.33,15.34
2023-06-30,69.8,$3.95,17.67
2023-03-31,72.47,$3.88,18.68
2022-12-31,73.49,$3.31,22.2
2022-09-30,70.78,$3.57,19.85
2022-06-30,69.9,$1.79,39.16
2022-03-31,78.21,$1.59,49.34
2021-12-31,61.1,$2.06,29.73
2021-09-30,57.93,$1.82,31.83
2021-06-30,59.67,$3.44,17.34
2021-03-31,59.71,$6.56,9.1
2020-12-31,56.9,$6.39,8.9
2020-09-30,52.44,$6.45,8.13
2020-06-30,51.47,$7.27,7.09
2020-03-31,49.17,$4.09,12.02
2019-12-31,65.24,$3.62,18.02
2019-09-30,63.17,$4.36,14.49
2019-06-30,58.01,$3.44,16.89
2019-03-31,53.12,$1.75,30.36
2018-12-31,45.32,$1.62,27.97
2018-09-30,47.25,$-0.89,0.0
2018-06-30,47.86,$-1.28,0.0
2018-03-31,45.49,$0.30,154.21
2017-12-31,43.38,$0.51,85.9
2017-09-30,45.95,$2.26,20.38
2017-06-30,44.75,$3.38,13.26
2017-03-31,43.85,$2.89,15.17
2016-12-31,39.65,$2.65,14.96
2016-09-30,41.91,$2.63,15.94
2016-06-30,44.28,$1.90,23.37
2016-03-31,40.13,$2.45,16.38
2015-12-31,35.99,$2.69,13.41
2015-09-30,36.77,$2.54,14.47
2015-06-30,37.33,$2.74,13.62
2015-03-31,40.84,$2.70,15.15
2014-12-31,41.45,$2.32,17.87
2014-09-30,38.99,$2.30,16.99
2014-06-30,38.5,$2.20,17.54
2014-03-31,35.35,$2.15,16.48
2013-12-31,32.57,$2.01,16.2
2013-09-30,30.84,$2.04,15.16
2013-06-30,29.25,$1.99,14.73
2013-03-31,28.38,$1.62,17.52
2012-12-31,24.99,$1.75,14.32
2012-09-30,22.53,$1.76,12.8
2012-06-30,23.84,$1.83,13.06
2012-03-31,20.56,$2.76,7.45
2011-12-31,18.67,$2.81,6.64
2011-09-30,17.33,$2.78,6.23
2011-06-30,17.62,$2.43,7.25
2011-03-31,17.67,$1.82,9.74
2010-12-31,17.17,$1.49,11.52
2010-09-30,17.47,$1.50,11.69
2010-06-30,15.08,$1.87,8.07
2010-03-31,15.96,$1.83,8.75
2009-12-31,17.77,$2.26,7.86
