Duke Energy PE Ratio Historical Data,Duke Energy PE Ratio Historical Data,Duke Energy PE Ratio Historical Data,Duke Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,113.95,,20.99
2024-06-30,99.31,$5.43,18.29
2024-03-31,94.87,$3.98,23.84
2023-12-31,94.15,$3.55,26.52
2023-09-30,84.67,$1.57,53.93
2023-06-30,85.13,$1.79,47.56
2023-03-31,90.58,$3.25,27.87
2022-12-31,95.72,$3.32,28.83
2022-09-30,85.55,$4.96,17.25
2022-06-30,97.7,$4.94,19.78
2022-03-31,100.84,$4.76,21.19
2021-12-31,93.8,$4.93,19.03
2021-09-30,86.43,$3.88,22.28
2021-06-30,86.62,$3.83,22.62
2021-03-31,83.91,$1.74,48.23
2020-12-31,78.75,$1.73,45.52
2020-09-30,75.4,$2.73,27.62
2020-06-30,67.23,$2.81,23.93
2020-03-31,67.29,$5.06,13.3
2019-12-31,75.18,$5.06,14.86
2019-09-30,78.18,$4.83,16.19
2019-06-30,71.21,$4.52,15.75
2019-03-31,71.86,$4.11,17.48
2018-12-31,68.18,$3.75,18.18
2018-09-30,62.55,$4.10,15.26
2018-06-30,61.12,$3.95,15.47
2018-03-31,59.16,$4.22,14.02
2017-12-31,63.49,$4.36,14.56
2017-09-30,62.72,$3.03,20.7
2017-06-30,61.84,$3.37,18.35
2017-03-31,60.05,$3.13,19.19
2016-12-31,56.21,$3.12,18.02
2016-09-30,57.3,$4.14,13.84
2016-06-30,60.8,$3.79,16.04
2016-03-31,56.57,$3.83,14.77
2015-12-31,49.53,$4.04,12.26
2015-09-30,49.31,$3.49,14.13
2015-06-30,47.88,$3.94,12.15
2015-03-31,51.51,$4.02,12.81
2014-12-31,55.5,$2.66,20.87
2014-09-30,49.19,$3.49,14.09
2014-06-30,48.26,$3.11,15.52
2014-03-31,45.83,$2.73,16.79
2013-12-31,43.92,$3.76,11.68
2013-09-30,42.04,$3.41,12.33
2013-06-30,42.02,$2.84,14.8
2013-03-31,44.72,$3.35,13.35
2012-12-31,38.87,$2.68,14.5
2012-09-30,38.98,$2.72,14.33
2012-06-30,41.15,$2.92,14.09
2012-03-31,37.06,$2.92,12.69
2011-12-31,38.35,$3.84,9.98
2011-09-30,34.42,$4.14,8.31
2011-06-30,31.96,$4.62,6.92
2011-03-31,30.41,$3.12,9.75
2010-12-31,29.44,$3.00,9.81
2010-09-30,28.88,$2.82,10.24
2010-06-30,25.73,$1.53,16.81
2010-03-31,25.86,$2.67,9.69
2009-12-31,26.88,$2.46,10.92
