Dollar General PE Ratio Historical Data,Dollar General PE Ratio Historical Data,Dollar General PE Ratio Historical Data,Dollar General PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,82.97,,17.5
2024-07-31,120.39,$4.74,25.4
2024-04-30,138.55,$6.87,20.17
2024-01-31,130.97,$7.56,17.32
2023-10-31,117.54,$8.69,13.53
2023-07-31,165.78,$9.76,16.99
2023-04-30,216.67,$10.61,20.42
2023-01-31,227.92,$10.68,21.34
2022-10-31,248.3,$10.29,24.13
2022-07-31,241.31,$10.04,24.04
2022-04-30,230.21,$9.75,23.61
2022-01-31,201.57,$10.16,19.84
2021-10-31,213.79,$10.21,20.94
2021-07-31,224.07,$10.44,21.46
2021-04-30,206.44,$10.87,18.99
2021-01-31,186.7,$10.61,17.6
2020-10-31,199.89,$10.09,19.81
2020-07-31,182.04,$9.20,19.79
2020-04-30,167.29,$7.73,21.64
2020-01-31,146.09,$6.65,21.97
2019-10-31,152.37,$6.39,23.84
2019-07-31,127.1,$6.23,20.4
2019-04-30,119.31,$6.10,19.56
2019-01-31,108.94,$5.98,18.22
2018-10-31,104.84,$6.77,15.49
2018-07-31,92.13,$6.44,14.31
2018-04-30,90.35,$6.00,15.06
2018-01-31,96.22,$5.66,17.0
2017-10-31,75.23,$4.52,16.64
2017-07-31,69.71,$4.43,15.74
2017-04-30,67.44,$4.43,15.22
2017-01-31,68.22,$4.44,15.36
2016-10-31,63.63,$4.25,14.97
2016-07-31,86.96,$4.27,20.36
2016-04-30,74.97,$4.14,18.11
2016-01-31,68.5,$3.95,17.34
2015-10-31,61.66,$3.82,16.14
2015-07-31,72.89,$3.74,19.49
2015-04-30,65.76,$3.62,18.16
2015-01-31,60.47,$3.50,17.28
2014-10-31,56.51,$3.34,16.92
2014-07-31,49.8,$3.30,15.09
2014-04-30,50.89,$3.22,15.81
2014-01-31,50.78,$3.17,16.02
2013-10-31,52.1,$3.13,16.65
2013-07-31,49.3,$3.01,16.38
2013-04-30,46.97,$2.90,16.2
2013-01-31,41.68,$2.86,14.57
2012-10-31,43.84,$2.74,16.0
2012-07-31,46.0,$2.62,17.56
2012-04-30,42.8,$2.40,17.83
2012-01-31,38.42,$2.22,17.31
2011-10-31,35.76,$2.01,17.79
2011-07-31,28.37,$1.88,15.09
2011-04-30,29.39,$1.87,15.71
2011-01-31,25.08,$1.81,13.85
2010-10-31,25.42,$1.43,17.78
