Trane Technologies PE Ratio Historical Data,Trane Technologies PE Ratio Historical Data,Trane Technologies PE Ratio Historical Data,Trane Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,361.66,,35.77
2024-06-30,328.93,$10.11,32.54
2024-03-31,300.2,$9.36,32.07
2023-12-31,243.18,$8.79,27.67
2023-09-30,201.64,$8.49,23.75
2023-06-30,190.06,$8.11,23.44
2023-03-31,182.83,$7.72,23.68
2022-12-31,167.04,$7.49,22.3
2022-09-30,143.9,$6.92,20.79
2022-06-30,128.51,$6.26,20.53
2022-03-31,150.37,$6.01,25.02
2021-12-31,198.95,$5.88,33.84
2021-09-30,169.49,$5.57,30.43
2021-06-30,180.77,$5.53,32.69
2021-03-31,162.53,$4.61,35.26
2020-12-31,141.96,$3.52,40.33
