Leidos Holdings PE Ratio Historical Data,Leidos Holdings PE Ratio Historical Data,Leidos Holdings PE Ratio Historical Data,Leidos Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,158.51,,49.69
2024-06-30,145.88,$3.19,45.73
2024-03-31,130.74,$2.32,56.36
2023-12-31,107.63,$1.42,75.8
2023-09-30,91.33,$1.04,87.81
2023-06-30,87.35,$5.12,17.06
2023-03-31,90.49,$4.86,18.62
2022-12-31,103.0,$4.94,20.85
2022-09-30,85.36,$4.89,17.46
2022-06-30,97.9,$5.15,19.01
2022-03-31,104.62,$5.09,20.55
2021-12-31,85.8,$5.26,16.31
2021-09-30,92.4,$5.40,17.11
2021-06-30,96.81,$5.10,18.98
2021-03-31,91.9,$4.98,18.45
2020-12-31,99.98,$4.36,22.93
2020-09-30,84.52,$4.25,19.89
2020-06-30,88.46,$4.23,20.91
2020-03-31,86.26,$4.10,21.04
2019-12-31,91.79,$4.59,20.0
2019-09-30,80.23,$4.58,17.52
2019-06-30,74.3,$4.43,16.77
2019-03-31,59.39,$4.44,13.38
2018-12-31,48.61,$3.81,12.76
2018-09-30,63.41,$3.30,19.22
2018-06-30,53.85,$2.87,18.76
2018-03-31,59.38,$2.57,23.11
2017-12-31,58.36,$2.38,24.52
2017-09-30,53.26,$2.03,26.24
2017-06-30,46.22,$2.30,20.1
2017-03-31,45.47,$2.21,20.57
2016-12-31,45.2,$2.40,18.83
2016-09-30,38.02,$3.73,10.19
2016-06-30,30.81,$3.60,8.56
2016-03-31,32.17,$3.55,9.06
2015-12-31,35.73,$3.44,10.39
2015-09-30,25.9,$1.72,15.06
2015-06-30,25.11,$1.05,23.92
2015-03-31,25.9,$0.55,47.1
2015-01-31,25.56,0,0.0
2014-10-31,22.41,0,0.0
2014-07-31,22.43,0,0.0
2014-04-30,22.41,0,0.0
2013-10-31,27.91,0,0.0
2013-07-31,35.99,0,0.0
2013-04-30,32.48,0,0.0
2013-01-31,26.09,0,0.0
2012-10-31,23.46,0,0.0
2012-07-31,24.43,0,0.0
2012-04-30,25.41,0,0.0
2011-10-31,25.48,0,0.0
2011-07-31,32.86,0,0.0
2011-04-30,35.67,0,0.0
2011-01-31,33.97,0,0.0
2010-10-31,31.86,0,0.0
2010-07-31,34.09,0,0.0
2010-04-30,35.69,0,0.0
2009-10-31,36.31,0,0.0
2009-07-31,37.08,0,0.0
2009-04-30,37.1,0,0.0
2009-01-31,40.47,0,0.0
