General Dynamics PE Ratio Historical Data,General Dynamics PE Ratio Historical Data,General Dynamics PE Ratio Historical Data,General Dynamics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,299.36,,23.35
2024-06-30,288.68,$12.82,22.52
2024-03-31,279.69,$12.20,22.93
2023-12-31,255.75,$12.90,19.83
2023-09-30,216.32,$12.52,17.28
2023-03-31,220.76,$12.23,18.05
2022-12-31,238.72,$12.20,19.57
2022-09-30,202.99,$12.01,16.9
2022-06-30,211.68,$11.45,18.49
2022-03-31,228.26,$11.77,19.39
2021-12-31,196.2,$11.77,16.67
2023-06-30,209.33,$10.86,19.28
2021-09-30,183.41,$11.65,15.74
2021-06-30,175.03,$11.48,15.25
2021-03-31,167.72,$12.38,13.55
2020-12-31,136.5,$13.04,10.47
2020-09-30,126.01,$12.32,10.23
2019-12-31,157.2,$11.98,13.12
2019-09-30,161.95,$11.54,14.03
2019-06-30,160.25,$10.58,15.15
2019-03-31,148.31,$10.66,13.91
2018-12-31,136.97,$10.72,12.78
2020-06-30,135.05,$10.30,13.11
2018-09-30,177.56,$10.22,17.37
2018-06-30,160.89,$9.89,16.27
2018-03-31,189.85,$9.70,19.57
2017-12-31,174.14,$9.53,18.27
2017-09-30,175.28,$10.01,17.51
2020-03-31,118.6,$9.70,12.23
2017-03-31,158.23,$9.71,16.3
2016-12-31,145.31,$9.53,15.25
2016-09-30,129.94,$9.35,13.9
2016-06-30,116.61,$9.42,12.38
2016-03-31,108.78,$9.25,11.76
2015-12-31,113.13,$9.09,12.45
2015-09-30,113.06,$8.78,12.88
2015-06-30,116.13,$8.56,13.57
2015-03-31,110.14,$7.87,13.99
2014-12-31,111.17,$7.44,14.94
2014-09-30,102.15,$6.75,15.13
2014-06-30,93.18,$6.53,14.27
2014-03-31,86.59,$7.40,11.7
2013-12-31,75.52,$7.50,10.07
2013-09-30,68.71,$7.72,8.9
2017-06-30,168.2,$-0.19,0.0
2013-06-30,61.06,$-0.94,0.0
2013-03-31,54.52,$-0.98,0.0
2012-12-31,53.57,$-1.03,0.0
2012-09-30,50.36,$6.72,7.49
2012-06-30,49.85,$6.82,7.31
2012-03-31,55.06,$6.81,8.08
2011-12-31,49.5,$6.88,7.2
2011-09-30,42.06,$7.11,5.92
2011-06-30,55.1,$7.01,7.86
2011-03-31,55.9,$6.92,8.08
2010-12-31,51.51,$6.81,7.56
2010-09-30,45.29,$6.47,7.0
2010-06-30,42.23,$6.24,6.77
2010-03-31,54.97,$6.17,8.91
2009-12-31,48.28,$6.17,7.83
