Edison PE Ratio Historical Data,Edison PE Ratio Historical Data,Edison PE Ratio Historical Data,Edison PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,87.03,,34.95
2024-06-30,71.04,$2.49,28.53
2024-03-31,69.97,$2.28,30.69
2023-12-31,69.93,$3.12,22.41
2023-09-30,61.24,$3.21,19.08
2023-06-30,65.73,$2.48,26.51
2023-03-31,66.81,$2.19,30.51
2022-12-31,59.59,$1.60,37.24
2022-09-30,52.39,$1.89,27.72
2022-06-30,57.23,$1.32,43.35
2022-03-31,63.44,$1.53,41.46
2021-12-31,61.15,$1.99,30.73
2021-09-30,49.19,$2.01,24.47
2021-06-30,50.09,$2.15,23.3
2021-03-31,50.77,$2.16,23.5
2020-12-31,53.83,$1.98,27.18
2020-09-30,43.1,$0.99,43.53
2020-06-30,44.96,$3.10,14.5
2020-03-31,45.35,$3.45,13.15
2019-12-31,61.72,$3.80,16.24
2019-09-30,61.21,$-0.99,0.0
2019-06-30,53.78,$-0.77,0.0
2019-03-31,49.4,$-1.13,0.0
2018-12-31,44.85,$-1.31,0.0
2018-09-30,52.9,$1.42,37.25
2018-06-30,49.01,$1.28,38.29
2018-03-31,48.84,$1.29,37.86
2017-12-31,48.06,$1.72,27.94
2017-09-30,58.1,$4.43,13.11
2017-06-30,58.46,$4.27,13.69
2017-03-31,59.11,$4.26,13.88
2016-12-31,53.09,$3.98,13.34
2016-09-30,52.88,$2.69,19.66
2016-06-30,56.48,$2.70,20.92
2016-03-31,51.95,$3.01,17.26
2015-12-31,42.5,$3.10,13.71
2015-09-30,44.91,$4.61,9.74
2015-06-30,39.31,$4.79,8.21
2015-03-31,43.86,$5.28,8.31
2014-12-31,45.67,$4.91,9.3
2014-09-30,38.76,$4.56,8.5
2014-06-30,40.03,$4.44,9.02
2014-03-31,38.76,$2.51,15.44
2013-12-31,31.49,$2.79,11.29
2013-09-30,31.09,$0.23,135.16
2013-06-30,32.27,$-0.53,0.0
2013-03-31,33.48,$-0.02,0.0
2012-12-31,29.86,$-0.56,0.0
2012-09-30,29.97,$-1.49,0.0
2012-06-30,30.09,$-0.76,0.0
2012-03-31,27.49,$-0.44,0.0
2011-12-31,26.57,$-0.11,0.0
2011-09-30,24.35,$2.97,8.2
2011-06-30,24.46,$3.22,7.6
2011-03-31,22.91,$3.73,6.14
2010-12-31,23.96,$3.84,6.24
2010-09-30,21.17,$3.98,5.32
2010-06-30,19.35,$3.65,5.3
2010-03-31,20.65,$2.55,8.1
2009-12-31,20.82,$2.59,8.04
