BorgWarner PE Ratio Historical Data,BorgWarner PE Ratio Historical Data,BorgWarner PE Ratio Historical Data,BorgWarner PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,34.07,,10.95
2024-06-30,32.24,$3.11,10.37
2024-03-31,34.74,$2.64,13.16
2023-12-31,35.72,$2.67,13.38
2023-09-30,40.1,$3.10,12.93
2023-06-30,48.45,$4.05,11.96
2023-03-31,48.46,$4.09,11.85
2022-12-31,39.58,$4.00,9.9
2022-09-30,30.76,$3.45,8.92
2022-06-30,32.54,$2.69,12.1
2022-03-31,37.77,$2.81,13.44
2021-12-31,43.58,$3.49,12.49
2021-09-30,41.62,$3.48,11.96
2021-06-30,46.57,$2.61,17.84
2020-12-31,36.81,$2.21,16.66
2020-09-30,36.75,$1.75,21.0
2020-06-30,33.34,$2.16,15.44
2020-03-31,22.9,$3.46,6.62
2019-12-31,40.54,$3.60,11.26
2019-09-30,34.14,$3.64,9.38
2019-06-30,38.87,$3.68,10.56
2019-03-31,35.4,$4.15,8.53
2018-12-31,31.88,$2.68,11.9
2018-09-30,39.09,$2.46,15.89
2018-06-30,39.29,$2.48,15.84
2017-12-31,46.18,$2.07,22.31
2017-09-30,46.17,$1.38,33.46
2017-06-30,38.06,$1.57,24.24
2017-03-31,37.42,$0.96,38.98
2016-12-31,35.2,$0.83,42.41
2018-03-31,45.56,$2.97,15.34
2016-09-30,31.27,$2.46,12.71
2016-06-30,26.14,$2.77,9.44
2016-03-31,33.87,$2.66,12.73
2015-12-31,37.98,$2.70,14.07
2015-09-30,36.43,$2.75,13.25
2015-06-30,49.65,$2.78,17.86
2015-03-31,52.71,$2.96,17.81
2014-12-31,47.79,$2.86,16.71
2014-09-30,45.65,$2.87,15.91
2014-06-30,56.45,$2.87,19.7
2014-03-31,53.12,$2.79,19.07
2013-12-31,48.21,$2.71,17.82
2013-09-30,43.6,$2.60,16.77
2013-06-30,36.95,$2.30,16.07
2013-03-31,33.17,$2.05,16.18
2012-12-31,30.72,$2.08,14.77
2012-09-30,29.64,$2.07,14.36
2012-06-30,28.13,$2.22,12.7
2012-03-31,36.18,$1.99,18.23
2011-12-31,27.34,$2.00,13.67
2011-09-30,25.96,$2.00,12.98
2021-03-31,44.33,$1.87,23.71
2011-06-30,34.65,$2.04,17.03
2011-03-31,34.18,$1.72,19.87
2010-12-31,31.04,$1.54,20.22
2010-09-30,22.57,$1.32,17.16
2010-06-30,16.02,$0.96,16.77
2010-03-31,16.38,$0.46,35.6
2009-12-31,14.25,$0.12,123.91
