GE Aerospace PE Ratio Historical Data,GE Aerospace PE Ratio Historical Data,GE Aerospace PE Ratio Historical Data,GE Aerospace PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,174.62,,41.38
2024-06-30,158.7,$4.22,37.61
2024-03-31,139.47,$3.05,45.73
2023-12-31,101.41,$8.37,12.12
2023-09-30,87.78,$8.87,9.9
2023-06-30,87.1,$8.43,10.33
2023-03-31,75.8,$7.67,9.88
2022-12-31,66.38,$-0.03,0.0
2022-09-30,49.0,$-5.53,0.0
2022-06-30,50.33,$-4.24,0.0
2022-03-31,72.24,$-4.58,0.0
2021-12-31,74.51,$-6.23,0.0
2021-09-30,81.19,$-0.52,0.0
2021-06-30,84.79,$-2.72,0.0
2021-03-31,82.65,$-3.68,0.0
2020-12-31,67.93,$4.56,14.9
2020-09-30,39.15,$2.88,13.59
2020-06-30,42.85,$-4.64,0.0
2020-03-31,49.74,$-2.64,0.0
2019-12-31,69.84,$-4.96,0.0
2019-09-30,55.89,$-4.88,0.0
2019-06-30,65.58,$-17.20,0.0
2019-03-31,62.33,$-16.56,0.0
2018-12-31,45.5,$-20.96,0.0
2018-09-30,67.77,$-30.56,0.0
2018-06-30,80.94,$-7.92,0.0
2018-03-31,79.45,$-7.44,0.0
2017-12-31,102.0,$-5.76,0.0
2017-09-30,140.37,$6.40,21.93
2017-06-30,155.24,$6.48,23.96
2017-03-31,169.87,$7.84,21.67
2016-12-31,178.7,$7.20,24.82
2016-09-30,166.25,$9.20,18.07
2016-06-30,175.33,$9.44,18.57
2016-03-31,175.74,$6.00,29.29
2015-12-31,170.86,$-4.72,0.0
2015-09-30,137.3,$-5.76,0.0
2015-06-30,143.35,$-4.96,0.0
2015-03-31,132.74,$-1.12,0.0
2014-12-31,133.97,$12.08,11.09
2014-09-30,134.59,$11.28,11.93
2014-06-30,136.91,$10.96,12.49
2014-03-31,133.78,$10.56,12.67
2013-12-31,143.58,$10.88,13.2
2013-09-30,121.4,$10.64,11.41
2013-06-30,116.93,$10.80,10.83
2013-03-31,115.64,$10.72,10.79
2012-12-31,104.13,$10.32,10.09
2012-09-30,111.66,$10.08,11.08
2012-06-30,101.69,$9.20,11.05
2012-03-31,97.09,$9.68,10.03
2011-12-31,85.88,$9.92,8.66
2011-09-30,72.3,$10.48,6.9
2011-06-30,88.77,$10.16,8.74
2011-03-31,93.61,$9.60,9.75
2010-12-31,84.81,$8.40,10.1
2010-09-30,74.77,$7.28,10.27
2010-06-30,65.87,$7.68,8.58
2010-03-31,82.61,$7.36,11.22
2009-12-31,68.25,$8.08,8.45
