Molson Coors Beverage PE Ratio Historical Data,Molson Coors Beverage PE Ratio Historical Data,Molson Coors Beverage PE Ratio Historical Data,Molson Coors Beverage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,53.97,,9.88
2024-06-30,50.42,$5.46,9.23
2024-03-31,66.71,$5.00,13.34
2023-12-31,60.29,$4.36,13.83
2023-09-30,62.22,$1.15,54.1
2023-06-30,64.01,$0.16,400.05
2023-03-31,49.91,$-1.19,0.0
2022-12-31,49.38,$-1.15,0.0
2022-09-30,45.68,$3.66,12.48
2022-06-30,51.51,$4.46,11.55
2021-12-31,43.17,$4.63,9.32
2021-09-30,42.87,$-2.06,0.0
2021-06-30,49.28,$-3.44,0.0
2021-03-31,46.95,$-3.65,0.0
2020-12-31,41.48,$-3.14,0.0
2022-03-31,50.08,$2.64,18.97
2020-09-30,30.8,$2.69,11.45
2020-06-30,31.54,$-0.75,0.0
2020-03-31,35.8,$-0.13,0.0
2019-12-31,48.89,$1.11,44.05
2019-09-30,51.57,$0.71,72.64
2019-06-30,49.67,$4.13,12.03
2019-03-31,52.52,$4.57,11.49
2018-12-31,49.12,$5.15,9.54
2018-09-30,53.79,$7.52,7.15
2018-06-30,59.15,$7.25,8.16
2018-03-31,65.05,$6.78,9.59
2017-12-31,70.5,$6.43,10.96
2017-09-30,69.76,$10.36,6.73
2017-06-30,73.44,$10.01,7.34
2017-03-31,81.06,$9.32,8.7
2016-12-31,82.08,$9.17,8.95
2016-09-30,92.24,$2.70,34.16
2016-06-30,84.62,$1.85,45.74
2016-03-31,80.16,$2.28,35.16
2015-12-31,77.91,$1.93,40.37
2015-09-30,68.57,$2.25,30.47
2015-06-30,57.32,$1.97,29.1
2015-03-31,60.79,$2.30,26.43
2014-12-31,60.52,$2.75,22.01
2014-09-30,60.16,$2.96,20.32
2014-06-30,59.64,$3.81,15.65
2014-03-31,47.06,$3.76,12.52
2013-12-31,44.6,$3.08,14.48
2013-09-30,39.58,$2.70,14.66
2013-06-30,37.54,$3.13,11.99
2013-03-31,38.14,$2.19,17.42
2012-12-31,33.12,$2.43,13.63
2012-09-30,34.59,$3.05,11.34
2012-06-30,31.72,$3.02,10.5
2012-03-31,34.21,$3.63,9.43
2011-12-31,32.68,$3.63,9.0
2011-09-30,29.49,$3.26,9.05
2011-06-30,33.06,$3.57,9.26
2011-03-31,34.4,$3.66,9.4
2010-12-31,36.6,$3.78,9.68
2010-09-30,34.23,$4.39,7.8
2010-06-30,30.51,$4.28,7.13
2010-03-31,30.09,$4.02,7.48
2009-12-31,32.12,$3.87,8.3
