CME Group PE Ratio Historical Data,CME Group PE Ratio Historical Data,CME Group PE Ratio Historical Data,CME Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,215.74,,23.79
2024-06-30,196.6,$9.07,21.68
2024-03-31,214.06,$8.79,24.35
2023-12-31,208.27,$8.87,23.48
2023-09-30,192.18,$8.38,22.93
2023-06-30,176.91,$8.19,21.6
2023-03-31,181.78,$7.87,23.1
2022-12-31,158.62,$7.39,21.46
2022-09-30,161.8,$7.35,22.01
2022-06-30,186.07,$8.06,23.09
2022-03-31,215.12,$7.66,28.08
2021-12-31,205.72,$7.31,28.14
2021-09-30,171.03,$6.78,25.23
2021-06-30,187.22,$5.35,34.99
2021-03-31,179.03,$5.33,33.59
2020-12-31,158.91,$5.87,27.07
2020-09-30,143.36,$6.00,23.89
2020-06-30,138.57,$6.63,20.9
2020-03-31,146.76,$6.66,22.04
2019-12-31,169.66,$5.91,28.71
2019-09-30,175.8,$5.69,30.9
2019-06-30,160.91,$5.12,31.43
2019-03-31,135.92,$5.35,25.41
2018-12-31,154.69,$5.72,27.04
2018-09-30,138.13,$13.26,10.42
2018-06-30,132.49,$12.96,10.22
2018-03-31,130.2,$12.52,10.4
2017-12-31,117.08,$11.94,9.81
2017-09-30,105.76,$4.41,23.98
2017-06-30,97.12,$4.89,19.86
2017-03-31,91.62,$4.62,19.83
2016-12-31,88.48,$4.53,19.53
2016-09-30,77.62,$4.29,18.09
2016-06-30,71.93,$3.96,18.16
2016-03-31,70.49,$3.79,18.6
2015-12-31,66.06,$3.68,17.95
2015-09-30,65.2,$3.73,17.48
2015-06-30,65.08,$3.53,18.44
2015-03-31,65.89,$3.54,18.61
2014-12-31,61.35,$3.35,18.31
2014-09-30,53.86,$3.02,17.83
2014-06-30,47.5,$2.87,16.55
2014-03-31,49.22,$3.01,16.35
2013-12-31,51.86,$2.93,17.7
2013-09-30,47.03,$2.85,16.5
2013-06-30,48.05,$2.80,17.16
2013-03-31,38.6,$2.61,14.79
2012-12-31,31.62,$5.92,5.34
2012-09-30,34.58,$7.67,4.51
2012-06-30,32.11,$7.96,4.03
2012-03-31,34.37,$8.09,4.25
2011-12-31,28.4,$4.66,6.1
2011-09-30,28.55,$3.14,9.09
2011-06-30,33.61,$3.02,11.15
2010-12-31,36.73,$2.86,12.83
2010-09-30,29.63,$2.89,10.27
2010-06-30,31.89,$3.52,9.07
2010-03-31,35.67,$3.30,10.8
2009-12-31,37.77,$3.24,11.64
2011-03-31,34.59,$3.24,10.69
