CoStar PE Ratio Historical Data,CoStar PE Ratio Historical Data,CoStar PE Ratio Historical Data,CoStar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,77.3,,145.85
2024-06-30,74.14,$0.53,139.89
2024-03-31,96.6,$0.73,132.33
2023-12-31,87.39,$0.92,94.99
2023-09-30,76.89,$0.99,77.67
2023-06-30,89.0,$0.95,93.68
2023-03-31,68.85,$0.91,75.66
2022-12-31,77.28,$0.93,83.1
2022-09-30,69.65,$0.86,80.99
2022-06-30,60.41,$0.84,71.92
2022-03-31,66.61,$0.79,84.32
2021-12-31,79.03,$0.75,105.66
2021-09-30,86.06,$0.60,143.67
2021-06-30,82.82,$0.59,141.09
2021-03-31,82.19,$0.59,140.02
2020-12-31,92.43,$0.60,154.82
2020-09-30,84.85,$0.75,113.89
2020-06-30,71.07,$0.81,87.52
2020-03-31,58.72,$0.83,71.18
2019-12-31,59.83,$0.86,69.57
2019-09-30,59.32,$0.85,69.79
2019-06-30,55.41,$0.80,69.61
2019-03-31,46.64,$0.74,62.78
2018-12-31,33.73,$0.65,51.58
2018-09-30,42.08,$0.55,76.94
2018-06-30,41.26,$0.49,84.21
2018-03-31,36.27,$0.44,82.8
2017-12-31,29.7,$0.36,82.03
2017-09-30,26.83,$0.33,81.04
2017-06-30,26.36,$0.30,88.16
2017-03-31,20.72,$0.28,74.27
2016-12-31,18.85,$0.26,71.67
2016-09-30,21.65,$0.24,89.11
2016-06-30,21.87,$0.15,141.99
2016-03-31,18.82,$0.06,318.93
2015-12-31,20.67,$-0.01,0.0
2015-09-30,17.31,$-0.04,0.0
2015-06-30,20.13,$0.02,1183.88
2015-03-31,19.78,$0.09,215.03
2014-12-31,18.36,$0.15,126.64
2014-09-30,15.55,$0.15,105.81
2014-06-30,15.82,$0.15,108.34
2014-03-31,18.67,$0.15,127.03
2013-12-31,18.46,$0.10,177.48
2013-09-30,16.79,$0.08,220.94
2013-06-30,12.91,$0.06,211.59
2013-03-31,10.95,$0.01,0.0
2012-12-31,8.94,$0.04,248.25
2012-09-30,8.15,$0.04,209.08
2012-06-30,8.12,$0.02,338.33
2012-03-31,6.91,$0.06,113.2
2011-12-31,6.67,$0.06,105.92
2011-09-30,5.2,$0.06,85.2
2011-06-30,5.93,$0.07,87.18
2011-03-31,6.27,$0.07,87.06
2010-12-31,5.76,$0.06,89.94
2010-09-30,4.87,$0.06,76.11
2010-06-30,3.88,$0.07,55.43
2010-03-31,4.15,$0.08,53.23
2009-12-31,4.18,$0.10,43.97
