Sysco PE Ratio Historical Data,Sysco PE Ratio Historical Data,Sysco PE Ratio Historical Data,Sysco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,77.97,,20.04
2024-06-30,70.87,$3.89,18.22
2024-03-31,80.07,$4.10,19.53
2023-12-31,71.65,$4.09,17.52
2023-09-30,64.21,$3.55,18.09
2023-06-30,71.65,$3.47,20.65
2023-03-31,74.11,$3.02,24.54
2022-12-31,72.89,$2.77,26.31
2022-09-30,66.97,$2.82,23.75
2022-06-30,80.23,$2.64,30.39
2022-03-31,76.89,$1.94,39.63
2021-12-31,73.11,$1.52,48.1
2021-09-30,73.07,$1.32,55.35
2021-06-30,71.5,$1.01,70.79
2021-03-31,72.41,$-0.50,0.0
2020-12-31,67.5,$-0.68,0.0
2020-09-30,56.15,$-0.07,0.0
2020-06-30,48.92,$0.38,128.74
2020-03-31,40.4,$2.63,15.36
2019-12-31,75.33,$3.49,21.58
2019-09-30,69.58,$3.26,21.34
2019-06-30,61.64,$3.20,19.26
2019-03-31,57.85,$3.02,19.15
2018-12-31,53.95,$2.80,19.27
2018-09-30,62.76,$2.83,22.18
2018-06-30,58.2,$2.71,21.48
2018-03-31,50.8,$2.43,20.91
2017-12-31,51.15,$2.24,22.84
2017-09-30,45.17,$2.20,20.53
2017-06-30,41.86,$2.09,20.03
2017-03-31,42.9,$1.90,22.58
2016-12-31,45.48,$1.84,24.72
2016-09-30,40.0,$1.82,21.98
2016-06-30,41.41,$1.65,25.1
2016-03-31,37.9,$1.39,27.27
2015-12-31,32.78,$1.31,25.03
2015-09-30,31.16,$1.10,28.33
2015-06-30,28.64,$1.16,24.69
2015-03-31,29.69,$1.47,20.2
2014-12-31,30.99,$1.48,20.94
2014-09-30,29.18,$1.57,18.59
2014-06-30,28.57,$1.58,18.08
2014-03-31,27.34,$1.62,16.88
2013-12-31,27.32,$1.65,16.56
2013-09-30,23.69,$1.67,14.18
2013-06-30,25.22,$1.68,15.01
2013-03-31,25.75,$1.74,14.8
2012-12-31,22.98,$1.84,12.49
2012-09-30,22.5,$1.89,11.91
2012-06-30,21.26,$1.91,11.13
2012-03-31,21.1,$1.95,10.82
2011-12-31,20.54,$1.95,10.53
2011-09-30,17.95,$1.96,9.16
2011-06-30,21.61,$1.96,11.03
2011-03-31,19.04,$1.96,9.71
2010-12-31,19.85,$1.94,10.23
2010-09-30,19.25,$1.95,9.87
2010-06-30,19.12,$1.99,9.61
2010-03-31,19.57,$1.95,10.04
2009-12-31,18.38,$1.91,9.62
