Hilton Worldwide Holdings PE Ratio Historical Data,Hilton Worldwide Holdings PE Ratio Historical Data,Hilton Worldwide Holdings PE Ratio Historical Data,Hilton Worldwide Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,219.64,,46.53
2024-06-30,218.05,$4.72,46.2
2024-03-31,213.01,$4.60,46.31
2023-12-31,181.7,$4.33,41.96
2023-09-30,149.72,$4.97,30.13
2023-06-30,144.96,$4.79,30.26
2023-03-31,140.15,$4.56,30.74
2022-12-31,125.59,$4.54,27.66
2022-09-30,119.74,$3.85,31.1
2022-06-30,110.51,$3.45,32.03
2022-03-31,150.31,$2.59,58.03
2021-12-31,154.52,$1.45,106.57
2021-09-30,130.86,$0.13,1006.65
2021-06-30,119.48,$-1.01,0.0
2021-03-31,119.78,$-3.02,0.0
2020-12-31,110.21,$-2.57,0.0
2020-09-30,84.52,$-1.16,0.0
2020-06-30,72.76,$0.12,606.31
2020-03-31,67.6,$2.56,26.4
2019-12-31,109.69,$3.04,36.08
2019-09-30,91.95,$3.18,28.91
2019-06-30,96.37,$2.72,35.43
2019-03-31,81.81,$2.54,32.21
2018-12-31,70.55,$2.51,28.11
2018-09-30,79.21,$4.37,18.13
2018-06-30,77.47,$4.38,17.69
2018-03-31,76.94,$4.18,18.41
2017-12-31,77.87,$3.89,20.02
2017-09-30,67.58,$0.11,614.37
2017-06-30,60.04,$0.13,461.5
2017-03-31,56.61,$0.34,166.41
2016-12-31,78.81,$1.05,75.04
2016-09-30,66.24,$4.68,14.15
2016-06-30,64.9,$4.95,13.11
2016-03-31,64.65,$4.71,13.73
2015-12-31,61.24,$4.23,14.48
2015-09-30,65.45,$2.25,29.08
2015-06-30,78.39,$1.98,39.58
2015-03-31,84.28,$2.13,39.56
2014-12-31,74.23,$2.04,36.38
2014-09-30,70.08,$1.65,42.47
