NiSource PE Ratio Historical Data,NiSource PE Ratio Historical Data,NiSource PE Ratio Historical Data,NiSource PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,33.06,,20.28
2024-06-30,28.57,$1.63,17.53
2024-03-31,27.17,$1.53,17.76
2023-12-31,25.81,$1.47,17.56
2023-09-30,23.76,$1.49,15.94
2023-06-30,26.09,$1.44,18.12
2023-03-31,26.44,$1.47,17.99
2022-12-31,25.7,$1.70,15.12
2022-09-30,23.39,$1.54,15.19
2022-06-30,27.17,$1.54,17.65
2022-03-31,29.08,$1.53,19.0
2021-12-31,25.04,$1.31,19.11
2021-09-30,21.78,$1.13,19.28
2021-06-30,21.83,$0.52,41.99
2021-03-31,21.3,$0.36,59.18
2020-12-31,20.07,$-0.20,0.0
2020-09-30,19.07,$-0.79,0.0
2020-06-30,19.55,$-0.32,0.0
2020-03-31,21.29,$0.48,44.36
2019-12-31,23.58,$0.87,27.1
2019-09-30,25.15,$1.23,20.45
2019-06-30,24.05,$0.30,80.16
2019-03-31,23.76,$-0.38,0.0
2018-12-31,20.86,$-0.12,0.0
2018-09-30,20.35,$-0.23,0.0
2018-06-30,21.3,$0.76,28.03
2018-03-31,19.23,$0.55,34.96
2017-12-31,20.46,$0.39,52.47
2017-09-30,20.27,$0.82,24.71
2017-06-30,19.95,$0.86,23.2
2017-03-31,18.58,$1.09,17.05
2016-12-31,17.16,$1.00,17.16
2016-09-30,18.55,$0.92,20.16
2016-06-30,20.27,$0.82,24.72
2016-03-31,17.88,$0.62,28.85
2015-12-31,14.7,$0.91,16.16
2015-09-30,13.87,$1.21,11.46
2015-06-30,13.06,$1.33,9.82
2015-03-31,12.58,$1.69,7.44
2014-12-31,12.01,$1.69,7.11
2014-09-30,11.53,$1.68,6.86
2014-06-30,11.0,$1.74,6.32
2014-03-31,9.86,$1.72,5.73
2013-12-31,9.06,$1.70,5.33
2013-09-30,8.45,$1.65,5.12
2013-06-30,7.77,$1.55,5.01
2013-03-31,7.9,$1.55,5.09
2012-12-31,6.64,$1.38,4.81
2012-09-30,6.73,$1.00,6.73
2012-06-30,6.48,$1.06,6.11
2012-03-31,6.32,$0.97,6.51
2011-12-31,6.11,$1.03,5.94
2011-09-30,5.43,$1.10,4.94
2011-06-30,5.09,$1.10,4.63
2011-03-31,4.76,$1.06,4.49
2010-12-31,4.32,$1.05,4.12
2010-09-30,4.21,$1.25,3.37
2010-06-30,3.46,$1.07,3.24
2010-03-31,3.72,$0.95,3.92
2009-12-31,3.57,$0.78,4.57
