Delta Air Lines PE Ratio Historical Data,Delta Air Lines PE Ratio Historical Data,Delta Air Lines PE Ratio Historical Data,Delta Air Lines PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,42.49,,6.11
2024-06-30,47.28,$6.95,6.8
2024-03-31,47.61,$7.78,6.12
2023-12-31,39.92,$7.15,5.58
2023-09-30,36.61,$5.28,6.93
2023-06-30,46.94,$4.64,10.12
2023-03-31,34.48,$2.95,11.69
2022-12-31,32.45,$2.04,15.91
2022-09-30,27.71,$0.11,251.88
2022-06-30,28.61,$0.92,31.09
2022-03-31,39.07,$0.79,49.46
2021-12-31,38.59,$0.42,91.88
2021-09-30,42.07,$-0.13,0.0
2021-06-30,42.72,$-10.49,0.0
2021-03-31,47.67,$-20.52,0.0
2020-12-31,39.7,$-19.51,0.0
2020-09-30,30.2,$-16.61,0.0
2020-06-30,27.7,$-5.83,0.0
2020-03-31,28.17,$5.39,5.23
2019-12-31,57.35,$7.32,7.83
2019-09-30,56.07,$7.10,7.9
2019-06-30,54.89,$6.70,8.19
2019-03-31,49.65,$5.96,8.33
2018-12-31,47.63,$5.64,8.45
2018-09-30,54.86,$4.95,11.08
2018-06-30,46.68,$4.68,9.97
2018-03-31,51.34,$4.89,10.5
2017-12-31,52.15,$4.94,10.56
2017-09-30,44.64,$4.98,8.96
2017-06-30,49.43,$5.03,9.83
2017-03-31,42.1,$5.38,7.83
2016-12-31,44.88,$5.81,7.72
2016-09-30,35.75,$6.62,5.4
2016-06-30,32.9,$6.76,4.87
2015-12-31,45.5,$5.63,8.08
2015-09-30,40.17,$3.52,11.41
2015-06-30,36.67,$3.08,11.9
2015-03-31,40.05,$1.67,23.98
2014-12-31,43.73,$1.71,25.57
2016-03-31,43.83,$2.82,15.54
2014-09-30,32.07,$11.50,2.79
2014-06-30,34.26,$12.67,2.7
2014-03-31,30.61,$12.53,2.44
2013-12-31,24.22,$12.29,1.97
2013-09-30,20.75,$2.41,8.61
2013-06-30,16.41,$2.05,8.01
2013-03-31,14.48,$1.05,13.79
2012-12-31,10.41,$1.19,8.75
2012-09-30,8.04,$1.68,4.78
2012-06-30,9.61,$1.10,8.73
2012-03-31,8.7,$1.53,5.69
2011-12-31,7.1,$1.00,7.1
2011-09-30,6.58,$0.52,12.65
2011-06-30,8.04,$0.30,26.82
2011-03-31,8.6,$0.63,13.65
2010-12-31,11.05,$0.70,15.79
2010-09-30,10.21,$0.65,15.71
2010-06-30,10.31,$0.03,343.6
2010-03-31,12.8,$-0.84,0.0
2009-12-31,9.98,$-1.49,0.0
