Lowe's PE Ratio Historical Data,Lowe's PE Ratio Historical Data,Lowe's PE Ratio Historical Data,Lowe's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,248.5,,26.46
2024-07-31,245.51,$9.39,26.15
2024-01-31,210.8,$13.16,16.02
2023-10-31,187.78,$12.97,14.48
2023-07-31,229.48,$12.97,17.69
2023-04-30,202.63,$8.66,23.4
2023-01-31,202.01,$9.56,21.13
2024-04-30,226.86,$11.49,19.74
2022-10-31,188.15,$10.21,18.43
2022-07-31,183.85,$12.69,14.49
2022-04-30,188.75,$12.27,15.38
2022-01-31,225.68,$11.97,18.85
2021-10-31,221.58,$11.51,19.25
2021-07-31,181.95,$9.69,18.78
2021-04-30,184.55,$9.18,20.1
2021-01-31,156.44,$7.73,20.24
2020-10-31,147.72,$7.07,20.89
2020-07-31,138.66,$7.52,18.44
2020-04-30,97.17,$5.92,16.41
2020-01-31,107.2,$5.47,19.6
2019-10-31,102.46,$3.78,27.11
2019-07-31,92.63,$3.20,28.95
2019-04-30,102.81,$2.92,35.21
2019-01-31,87.01,$2.80,31.08
2018-10-31,85.71,$4.50,19.05
2018-07-31,88.98,$4.77,18.65
2018-04-30,73.48,$4.59,16.01
2018-01-31,92.9,$4.14,22.44
2017-10-31,70.65,$3.90,18.12
2017-07-31,68.05,$4.16,16.36
2017-01-31,63.64,$3.46,18.39
2016-10-31,57.76,$2.73,21.16
2016-07-31,70.95,$3.00,23.65
2016-04-30,65.27,$2.49,26.21
2016-01-31,61.31,$2.71,22.62
2017-04-30,74.22,$3.40,21.83
2015-10-31,62.91,$3.16,19.91
2015-07-31,58.88,$2.95,19.96
2015-04-30,58.21,$2.79,20.86
2015-01-31,57.1,$2.70,21.15
2014-10-31,48.04,$2.53,18.99
2014-07-31,40.01,$2.41,16.6
2014-04-30,38.21,$2.25,16.98
2014-01-31,38.37,$2.13,18.02
2013-10-31,41.11,$2.10,19.58
2013-07-31,36.68,$1.98,18.53
2013-04-30,31.48,$1.74,18.09
2013-01-31,31.16,$1.68,18.55
2012-10-31,26.31,$1.68,15.66
2012-07-31,20.51,$1.51,13.58
2012-04-30,25.29,$1.51,16.75
2012-01-31,21.46,$1.42,15.11
2011-10-31,16.73,$1.37,12.21
2011-07-31,17.06,$1.48,11.53
2011-04-30,20.62,$1.42,14.52
2011-01-31,19.4,$1.42,13.66
2010-10-31,16.62,$1.35,12.31
2010-07-31,16.07,$1.29,12.46
2010-04-30,20.9,$1.22,17.13
2010-01-31,16.63,$1.20,13.86
2009-10-31,14.97,$1.17,12.8
