Cintas PE Ratio Historical Data,Cintas PE Ratio Historical Data,Cintas PE Ratio Historical Data,Cintas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,805.12,,53.18
2024-05-31,676.6,$15.14,44.69
2024-02-29,626.11,$14.48,43.24
2023-11-30,549.83,$13.78,39.9
2023-08-31,499.82,$13.29,37.61
2023-05-31,466.79,$12.98,35.96
2023-02-28,432.46,$12.46,34.71
2022-11-30,454.27,$12.29,36.96
2022-08-31,399.19,$11.93,33.46
2022-05-31,389.8,$11.01,35.4
2022-02-28,366.36,$10.57,34.66
2021-11-30,411.06,$10.22,40.22
2021-05-31,342.64,$10.24,33.46
2021-02-28,313.67,$9.12,34.39
2020-11-30,342.86,$9.86,34.77
2020-08-31,318.28,$9.40,33.86
2020-05-31,236.83,$8.89,26.64
2021-08-31,384.5,$9.86,39.0
2020-02-29,254.76,$8.81,28.92
2019-11-30,245.52,$8.50,28.88
2019-08-31,249.53,$8.41,29.67
2019-05-31,209.83,$7.98,26.29
2019-02-28,195.42,$7.58,25.78
2018-11-30,177.24,$8.44,21.0
2018-08-31,199.57,$7.49,26.64
2018-05-31,170.46,$7.56,22.55
2018-02-28,159.62,$6.66,23.97
2017-11-30,147.25,$5.02,29.33
2017-08-31,124.88,$5.08,24.58
2017-05-31,116.44,$4.38,26.58
2017-02-28,109.16,$4.82,22.65
2016-11-30,106.01,$4.80,22.08
2016-08-31,107.31,$6.57,16.33
2016-05-31,86.57,$6.19,13.99
2016-02-29,76.7,$5.89,13.02
2015-11-30,83.64,$5.64,14.83
2015-08-31,76.73,$3.58,21.43
2015-05-31,77.72,$3.63,21.41
2015-02-28,75.37,$3.76,20.04
2014-11-30,66.04,$3.65,18.09
2014-08-31,58.3,$3.35,17.4
2014-05-31,54.76,$3.11,17.61
2014-02-28,53.47,$2.68,19.95
2013-11-30,48.92,$2.62,18.67
2013-05-31,39.67,$2.52,15.74
2013-02-28,38.15,$2.43,15.7
2012-11-30,36.01,$2.41,14.94
2012-08-31,34.59,$2.35,14.72
2012-05-31,31.58,$2.27,13.91
2012-02-29,33.0,$2.16,15.28
2011-11-30,26.01,$1.99,13.07
2011-08-31,26.88,$1.80,14.93
2011-05-31,27.61,$1.68,16.44
2011-02-28,23.64,$1.55,15.25
2010-11-30,22.48,$1.46,15.4
2010-08-31,21.05,$1.45,14.52
2010-05-31,21.47,$1.40,15.34
2010-02-28,20.47,$1.07,19.13
2009-11-30,22.75,$1.22,18.65
2009-08-31,22.23,$1.48,15.02
