Mohawk Industries PE Ratio Historical Data,Mohawk Industries PE Ratio Historical Data,Mohawk Industries PE Ratio Historical Data,Mohawk Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,155.14,,0.0
2024-06-30,113.59,$-5.66,0.0
2024-03-31,130.89,$-6.54,0.0
2023-12-31,103.5,$-6.92,0.0
2023-09-30,85.81,$-8.58,0.0
2023-06-30,103.16,$-5.04,0.0
2023-03-31,100.22,$-2.22,0.0
2022-12-31,102.22,$0.30,340.73
2022-09-30,91.19,$2.58,35.34
2022-06-30,124.09,$14.91,8.32
2022-03-31,124.2,$15.33,8.1
2021-12-31,182.18,$14.91,12.22
2021-09-30,177.4,$15.60,11.37
2021-06-30,192.19,$14.54,13.22
2021-03-31,192.31,$9.04,21.27
2020-12-31,140.95,$7.22,19.52
2020-09-30,97.59,$7.41,13.17
2020-06-30,101.76,$6.69,15.21
2020-03-31,76.24,$10.16,7.5
2019-12-31,136.38,$10.29,13.25
2019-09-30,124.07,$9.66,12.84
2019-06-30,147.47,$10.53,14.0
2019-03-31,126.15,$10.36,12.18
2018-12-31,116.96,$11.47,10.2
2018-09-30,175.35,$11.63,15.08
2018-06-30,214.27,$12.22,17.53
2018-03-31,232.22,$13.08,17.75
2017-12-31,275.9,$12.98,21.26
2017-09-30,247.51,$12.90,19.19
2017-06-30,241.69,$12.91,18.72
2017-03-31,229.49,$12.85,17.86
2016-12-31,199.68,$12.47,16.01
2016-09-30,200.34,$11.91,16.82
2016-06-30,189.76,$11.18,16.97
2016-03-31,190.9,$10.29,18.55
2015-12-31,189.39,$8.29,22.85
2015-09-30,181.79,$7.72,23.55
2015-06-30,190.9,$6.89,27.71
2015-03-31,185.75,$6.44,28.84
2014-12-31,155.36,$7.25,21.43
2014-09-30,134.82,$6.54,20.61
2014-06-30,138.34,$6.11,22.64
2014-03-31,135.98,$5.19,26.2
2013-12-31,148.9,$4.80,31.02
2013-09-30,130.25,$4.46,29.2
2013-06-30,112.49,$3.84,29.29
2013-03-31,113.12,$3.74,30.25
2012-12-31,90.47,$3.60,25.13
2012-09-30,80.02,$3.27,24.47
2012-06-30,69.83,$2.94,23.75
2012-03-31,66.51,$2.76,24.1
2011-12-31,59.85,$2.52,23.75
2011-09-30,42.91,$2.56,16.76
2011-06-30,59.99,$2.62,22.9
2011-03-31,61.15,$2.73,22.4
2010-12-31,56.76,$2.69,21.1
2010-09-30,53.3,$2.32,22.97
2010-06-30,45.76,$2.08,22.0
2010-03-31,54.38,$1.76,30.9
2009-12-31,47.6,$-0.09,0.0
