Exelon PE Ratio Historical Data,Exelon PE Ratio Historical Data,Exelon PE Ratio Historical Data,Exelon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,38.09,,15.67
2024-06-30,34.26,$2.43,14.1
2024-03-31,36.82,$2.32,15.87
2023-12-31,34.81,$2.33,14.94
2023-09-30,36.31,$2.14,16.97
2023-06-30,38.79,$2.12,18.3
2023-03-31,39.55,$2.25,17.58
2022-12-31,40.46,$2.19,18.48
2022-09-30,34.75,$2.16,16.09
2022-06-30,41.74,$2.71,15.4
2022-03-31,43.55,$2.65,16.43
2021-12-31,37.34,$1.74,21.46
2021-09-30,31.04,$1.71,18.15
2021-06-30,28.22,$0.99,28.51
2021-03-31,27.62,$1.11,24.89
2020-12-31,26.41,$2.01,13.14
2020-09-30,22.17,$2.43,9.12
2020-06-30,22.27,$2.71,8.22
2020-03-31,22.36,$2.68,8.34
2019-12-31,27.48,$3.01,9.13
2019-09-30,28.88,$2.38,12.13
2019-06-30,28.43,$2.35,12.1
2019-03-31,29.51,$2.41,12.24
2018-12-31,26.35,$2.08,12.67
2018-09-30,25.31,$3.86,6.56
2018-06-30,24.5,$3.95,6.2
2018-03-31,22.25,$3.48,6.39
2017-12-31,22.27,$3.95,5.64
2017-09-30,21.12,$2.23,9.47
2017-06-30,20.05,$1.91,10.5
2017-03-31,19.81,$2.11,9.39
2016-12-31,19.36,$1.23,15.74
2016-09-30,17.97,$1.34,13.41
2016-06-30,19.45,$1.50,12.96
2016-03-31,19.01,$1.95,9.75
2015-12-31,14.57,$2.56,5.69
2015-09-30,15.42,$2.25,6.85
2015-06-30,16.16,$2.71,5.96
2015-03-31,17.13,$2.57,6.66
2014-12-31,18.72,$1.87,10.01
2014-09-30,17.07,$2.43,7.02
2014-06-30,18.09,$2.14,8.45
2014-03-31,16.49,$2.11,7.82
2013-12-31,13.32,$2.01,6.63
2013-09-30,14.25,$1.87,7.62
2013-06-30,14.7,$1.36,10.81
2013-03-31,16.27,$1.12,14.53
2012-12-31,13.8,$1.40,9.85
2012-09-30,16.22,$1.87,8.67
2012-06-30,16.92,$2.42,6.99
2012-03-31,17.46,$3.02,5.78
2011-12-31,18.99,$3.75,5.06
2011-09-30,18.44,$3.63,5.08
2011-06-30,18.31,$4.00,4.58
2011-03-31,17.41,$3.74,4.65
2010-12-31,17.36,$3.86,4.5
2010-09-30,17.52,$3.95,4.44
2010-06-30,15.43,$3.82,4.04
2010-03-31,17.58,$4.14,4.25
2009-12-31,19.38,$4.09,4.74
