CSX PE Ratio Historical Data,CSX PE Ratio Historical Data,CSX PE Ratio Historical Data,CSX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,34.27,,18.83
2024-06-30,33.33,$1.82,18.32
2024-03-31,36.81,$1.82,20.23
2023-12-31,34.32,$1.84,18.65
2023-09-30,30.33,$1.88,16.13
2023-06-30,33.52,$1.98,16.93
2023-03-31,29.32,$2.03,14.45
2022-12-31,30.23,$1.94,15.58
2022-09-30,25.92,$1.87,13.86
2022-06-30,28.18,$1.78,15.83
2022-03-31,36.21,$1.76,20.57
2021-12-31,36.25,$1.70,21.32
2021-09-30,28.59,$1.60,17.87
2021-06-30,30.76,$1.39,22.18
2020-12-31,28.83,$1.20,24.03
2020-09-30,24.61,$1.20,20.51
2020-06-30,22.02,$1.19,18.51
2020-03-31,18.03,$1.33,13.52
2019-12-31,22.68,$1.36,16.68
2021-03-31,30.73,$1.37,22.43
2019-09-30,21.64,$1.40,15.5
2019-06-30,24.09,$1.39,17.37
2019-03-31,23.22,$1.36,17.03
2018-12-31,19.22,$1.28,14.97
2018-09-30,22.9,$2.49,9.21
2018-06-30,19.67,$2.31,8.53
2018-03-31,17.12,$2.15,7.95
2017-12-31,16.84,$2.02,8.32
2017-09-30,16.55,$0.65,25.59
2017-06-30,16.57,$0.64,26.04
2017-03-31,14.09,$0.61,23.1
2016-12-31,10.83,$0.60,17.96
2016-09-30,9.15,$0.60,15.25
2016-06-30,7.77,$0.61,12.68
2016-03-31,7.62,$0.64,11.85
2015-12-31,7.63,$0.67,11.38
2015-09-30,7.86,$0.67,11.67
2015-06-30,9.47,$0.67,14.14
2015-03-31,9.56,$0.66,14.48
2014-12-31,10.41,$0.65,16.02
2014-09-30,9.17,$0.64,14.33
2014-06-30,8.77,$0.64,13.63
2013-12-31,8.1,$0.62,13.14
2013-09-30,7.21,$0.62,11.63
2013-06-30,6.45,$0.60,10.76
2013-03-31,6.81,$0.57,11.89
2012-12-31,5.42,$0.59,9.25
2014-03-31,8.2,$0.59,13.98
2012-09-30,5.66,$0.60,9.5
2012-06-30,6.07,$0.59,10.23
2012-03-31,5.8,$0.58,9.95
2011-12-31,5.65,$0.56,10.12
2011-09-30,4.98,$0.54,9.2
2011-06-30,6.95,$0.52,13.42
2011-03-31,6.91,$0.48,14.3
2010-12-31,5.66,$0.45,12.52
2010-09-30,4.83,$0.41,11.74
2010-06-30,4.31,$0.37,11.54
2010-03-31,4.4,$0.34,12.89
2009-12-31,4.17,$0.32,12.89
