Marathon Oil PE Ratio Historical Data,Marathon Oil PE Ratio Historical Data,Marathon Oil PE Ratio Historical Data,Marathon Oil PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,28.65,,11.15
2024-06-30,28.56,$2.57,11.11
2024-03-31,28.11,$2.42,11.62
2023-12-31,23.85,$2.56,9.32
2023-09-30,26.3,$2.70,9.74
2023-06-30,22.54,$3.17,7.11
2023-03-31,23.36,$4.07,5.74
2022-12-31,26.29,$5.19,5.07
2022-09-30,21.87,$5.21,4.2
2022-06-30,21.7,$4.22,5.14
2022-03-31,24.17,$2.87,8.42
2021-12-31,15.75,$1.21,13.02
2021-09-30,13.07,$-0.06,0.0
2021-06-30,12.96,$-0.69,0.0
2021-03-31,10.13,$-1.66,0.0
2020-12-31,6.31,$-1.84,0.0
2020-09-30,3.85,$-1.44,0.0
2020-06-30,5.76,$-0.83,0.0
2020-03-31,3.09,$0.32,9.67
2019-12-31,12.71,$0.59,21.54
2019-09-30,11.43,$1.09,10.49
2019-06-30,13.19,$1.18,11.18
2019-03-31,15.46,$1.09,14.18
2018-12-31,13.23,$1.30,10.17
2018-09-30,21.41,$0.80,26.76
2018-06-30,19.13,$-0.20,0.0
2018-03-31,14.76,$-0.47,0.0
2017-12-31,15.44,$-6.73,0.0
2017-09-30,12.33,$-8.32,0.0
2017-06-30,10.73,$-7.85,0.0
2017-03-31,14.25,$-7.89,0.0
2016-12-31,15.57,$-2.61,0.0
2016-09-30,14.17,$-2.16,0.0
2016-06-30,13.41,$-3.04,0.0
2016-03-31,9.91,$-3.41,0.0
2015-12-31,11.13,$-3.26,0.0
2015-09-30,13.58,$-0.72,0.0
2015-06-30,23.12,$1.03,22.44
2015-03-31,22.57,$2.40,9.4
2014-12-31,24.28,$4.46,5.44
2014-09-30,32.05,$3.63,8.83
2014-06-30,33.86,$3.79,8.93
2014-03-31,29.97,$3.59,8.35
2013-12-31,29.61,$2.48,11.94
2013-09-30,29.11,$2.39,12.18
2013-06-30,28.69,$2.22,12.92
2013-03-31,27.84,$2.18,12.77
2012-12-31,25.19,$2.23,11.3
2012-09-30,24.16,$2.56,9.44
2012-06-30,20.77,$2.50,8.31
2012-03-31,25.57,$3.33,7.68
2011-12-31,23.49,$4.13,5.69
2011-09-30,17.23,$4.34,3.97
2011-06-30,25.69,$4.75,5.41
2011-03-31,25.87,$4.36,5.93
2010-12-31,17.88,$3.61,4.95
2010-09-30,15.86,$3.12,5.08
2010-06-30,14.78,$2.72,5.44
2010-03-31,14.93,$2.30,6.49
2009-12-31,14.61,$2.06,7.09
