3M PE Ratio Historical Data,3M PE Ratio Historical Data,3M PE Ratio Historical Data,3M PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,134.69,,79.23
2024-06-30,101.65,$1.70,59.79
2024-03-31,88.05,$-12.72,0.0
2023-12-31,89.29,$-12.63,0.0
2023-09-30,75.29,$-13.35,0.0
2023-06-30,79.3,$-2.84,0.0
2023-03-31,82.04,$9.65,8.5
2022-12-31,92.37,$10.15,9.1
2022-09-30,84.13,$11.48,7.33
2022-06-30,97.52,$7.16,13.62
2022-03-31,111.07,$9.61,11.56
2021-12-31,131.2,$10.12,12.96
2021-09-30,128.51,$10.19,12.61
2021-06-30,144.41,$10.17,14.2
2021-03-31,139.06,$9.80,14.19
2020-12-31,125.1,$8.69,14.4
2020-09-30,113.67,$9.03,12.59
2020-06-30,109.7,$8.52,12.88
2019-12-31,121.71,$7.81,15.58
2019-09-30,112.44,$8.42,13.35
2019-06-30,117.48,$7.92,14.83
2019-03-31,139.6,$8.58,16.27
2018-12-31,127.13,$10.14,12.54
2020-03-31,95.05,$8.85,10.74
2018-09-30,139.63,$7.48,18.67
2018-06-30,129.49,$7.23,17.91
2018-03-31,143.52,$6.74,21.29
2017-12-31,153.0,$7.92,19.32
2017-09-30,135.76,$8.95,15.17
2017-06-30,133.87,$8.77,15.26
2017-03-31,122.29,$8.27,14.79
2016-12-31,113.4,$8.16,13.9
2016-09-30,111.2,$7.94,14.01
2016-06-30,109.82,$7.84,14.01
2016-03-31,103.81,$7.78,13.34
2015-12-31,93.17,$7.58,12.29
2015-09-30,87.11,$7.73,11.27
2015-06-30,94.15,$7.66,12.29
2015-03-31,100.02,$7.55,13.25
2014-12-31,99.02,$7.49,13.22
2014-09-30,84.92,$7.30,11.63
2014-06-30,85.35,$7.10,12.02
2014-03-31,80.34,$6.90,11.64
2013-12-31,82.52,$6.72,12.28
2013-09-30,69.92,$6.51,10.74
2013-06-30,63.67,$6.38,9.98
2013-03-31,61.55,$6.33,9.72
2012-12-31,53.42,$6.07,8.8
2012-09-30,52.83,$6.18,8.55
2012-06-30,50.89,$6.13,8.3
2011-12-31,45.79,$5.96,7.68
2011-09-30,39.94,$5.88,6.79
2011-06-30,52.41,$5.95,8.81
2011-03-31,51.37,$5.88,8.74
2010-12-31,47.13,$5.93,7.95
2012-03-31,50.32,$5.95,8.46
2010-09-30,47.06,$5.66,8.31
2010-06-30,42.6,$5.48,7.77
2010-03-31,44.79,$5.06,8.85
2009-12-31,44.02,$4.51,9.76
