Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,165.11,,25.32
2024-06-30,183.42,$6.52,28.13
2023-12-31,140.77,$5.80,24.27
2023-09-30,131.7,$5.21,25.28
2023-06-30,120.83,$5.55,21.77
2023-03-31,103.88,$5.17,20.09
2022-12-31,88.63,$5.21,17.01
2024-03-31,152.09,$5.39,28.21
2022-09-30,96.04,$5.04,19.07
2022-06-30,109.25,$5.38,20.33
2022-03-31,139.49,$5.53,25.23
2021-12-31,144.52,$5.61,25.75
2021-09-30,133.11,$5.19,25.64
2021-06-30,125.17,$4.61,27.14
2021-03-31,103.31,$3.76,27.51
2020-12-31,87.49,$2.94,29.81
2020-09-30,73.4,$2.59,28.37
2020-06-30,70.6,$2.27,31.05
2020-03-31,58.07,$2.48,23.44
2019-12-31,66.78,$2.46,27.16
2019-09-30,60.88,$2.33,26.13
2019-06-30,53.98,$2.48,21.79
2019-03-31,58.6,$1.99,29.4
2018-12-31,51.72,$2.19,23.67
2018-09-30,59.61,$1.33,44.85
2018-06-30,55.72,$1.15,48.26
2018-03-31,51.53,$1.18,43.74
2017-12-31,52.26,$0.89,58.75
2017-09-30,47.9,$1.47,32.6
2017-06-30,45.39,$1.34,33.84
2016-12-31,38.55,$1.39,27.7
2016-09-30,38.82,$1.37,28.41
2016-06-30,34.57,$1.39,24.86
2016-03-31,37.21,$1.33,28.04
2015-12-31,37.9,$1.27,29.78
2017-03-31,41.43,$1.18,35.13
2015-09-30,30.39,$1.14,26.71
2015-06-30,26.0,$1.05,24.64
2015-03-31,27.37,$1.06,25.89
2014-12-31,26.29,$1.05,25.07
