Honeywell PE Ratio Historical Data,Honeywell PE Ratio Historical Data,Honeywell PE Ratio Historical Data,Honeywell PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,207.91,,23.71
2024-06-30,212.38,$8.77,24.22
2024-03-31,203.08,$8.63,23.53
2023-12-31,206.37,$8.47,24.36
2023-09-30,180.73,$8.07,22.4
2023-06-30,201.9,$8.08,24.99
2023-03-31,184.98,$7.70,24.02
2022-12-31,206.32,$7.27,28.38
2022-09-30,159.97,$7.81,20.48
2022-06-30,165.7,$7.33,22.61
2022-03-31,184.56,$7.53,24.51
2021-12-31,196.72,$7.92,24.84
2021-09-30,199.41,$7.78,25.63
2021-06-30,205.23,$7.05,29.11
2021-03-31,202.25,$6.54,30.93
2020-12-31,197.29,$6.72,29.36
2020-09-30,151.97,$6.97,21.8
2020-06-30,132.73,$8.13,16.33
2020-03-31,121.95,$8.70,14.02
2019-12-31,160.44,$8.41,19.08
2019-09-30,152.6,$8.56,17.83
2019-06-30,157.46,$9.44,16.68
2019-03-31,142.63,$9.02,15.81
2018-12-31,117.94,$8.99,13.12
2018-09-30,143.12,$3.50,40.89
2018-06-30,123.3,$2.14,57.62
2018-03-31,123.07,$2.26,54.46
2017-12-31,129.98,$2.08,62.49
2017-09-30,119.52,$6.60,18.11
2017-06-30,111.86,$6.45,17.34
2017-03-31,104.26,$6.31,16.52
2016-12-31,96.22,$6.13,15.7
2016-09-30,95.71,$6.32,15.14
2016-06-30,95.0,$6.32,15.03
2016-03-31,91.04,$6.17,14.76
2015-12-31,83.67,$6.05,13.83
2015-09-30,76.05,$5.72,13.3
2015-06-30,81.5,$5.59,14.58
2015-03-31,82.97,$5.46,15.2
2014-12-31,79.08,$5.33,14.84
2014-09-30,73.31,$5.32,13.78
2014-06-30,72.83,$5.09,14.31
2014-03-31,72.32,$4.99,14.49
2013-12-31,70.9,$4.92,14.41
2013-09-30,64.11,$4.05,15.83
2013-06-30,60.94,$4.01,15.2
2013-03-31,57.58,$3.87,14.88
2012-12-31,48.22,$3.70,13.03
2012-09-30,45.08,$2.98,15.13
2012-06-30,41.86,$2.88,14.54
2012-03-31,45.47,$2.76,16.48
2011-12-31,39.98,$2.60,15.38
2011-09-30,32.08,$3.47,9.24
2011-06-30,43.22,$3.01,14.36
2011-03-31,43.06,$2.59,16.63
2010-12-31,38.12,$2.21,17.25
2010-09-30,31.31,$2.65,11.82
2010-06-30,27.62,$2.81,9.83
2010-03-31,31.82,$2.81,11.32
2009-12-31,27.34,$2.85,9.59
