Dover PE Ratio Historical Data,Dover PE Ratio Historical Data,Dover PE Ratio Historical Data,Dover PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,186.03,,17.34
2024-06-30,179.95,$10.73,16.77
2024-03-31,176.7,$10.41,16.97
2023-12-31,152.91,$7.52,20.33
2023-09-30,138.19,$7.28,18.98
2023-06-30,145.76,$7.22,20.19
2023-03-31,149.44,$7.50,19.93
2022-12-31,132.73,$7.43,17.86
2022-09-30,113.86,$8.05,14.14
2022-06-30,118.02,$7.86,15.02
2022-03-31,152.07,$7.68,19.8
2021-12-31,175.46,$7.73,22.7
2021-09-30,149.8,$6.49,23.08
2021-06-30,144.67,$6.06,23.87
2021-03-31,131.3,$5.10,25.74
2020-12-31,120.4,$4.70,25.62
2020-09-30,102.91,$4.60,22.37
2020-06-30,91.31,$4.62,19.77
2020-03-31,78.98,$5.11,15.46
2019-12-31,107.95,$4.62,23.37
2019-09-30,92.84,$4.43,20.96
2019-06-30,92.94,$4.08,22.78
2019-03-31,86.55,$3.64,23.78
2018-12-31,65.12,$3.76,17.32
2018-09-30,81.25,$4.68,17.36
2018-06-30,66.81,$4.77,14.01
2018-03-31,71.64,$4.90,14.62
2017-12-31,73.33,$5.15,14.24
2017-09-30,66.03,$4.30,15.36
2017-06-30,57.64,$3.99,14.45
2017-03-31,57.43,$3.71,15.48
2016-12-31,53.26,$3.26,16.34
2016-09-30,52.02,$3.14,16.57
2016-06-30,48.68,$3.50,13.91
2016-03-31,44.89,$4.81,9.33
2015-12-31,42.49,$5.45,7.8
2015-09-30,39.37,$5.56,7.08
2015-06-30,47.99,$5.75,8.35
2015-03-31,47.02,$4.95,9.5
2014-12-31,48.52,$4.60,10.55
2014-09-30,54.08,$4.71,11.48
2014-06-30,60.96,$4.89,12.47
2014-03-31,54.56,$5.53,9.87
2013-12-31,53.42,$5.80,9.21
2013-09-30,49.51,$5.56,8.9
2013-06-30,42.61,$5.31,8.02
2013-03-31,39.81,$4.55,8.75
2012-12-31,35.72,$4.40,8.12
2012-09-30,32.16,$5.00,6.43
2012-06-30,28.81,$4.60,6.26
2012-03-31,33.64,$4.77,7.05
2011-12-31,30.88,$4.75,6.5
2011-09-30,24.64,$4.30,5.73
2011-06-30,35.65,$4.58,7.78
2011-03-31,34.42,$4.16,8.27
2010-12-31,30.47,$3.66,8.32
2010-09-30,27.08,$3.20,8.46
2010-06-30,21.55,$2.53,8.52
2009-12-31,21.2,$1.92,11.04
2009-09-30,19.63,$1.97,9.96
