Aflac PE Ratio Historical Data,Aflac PE Ratio Historical Data,Aflac PE Ratio Historical Data,Aflac PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,110.36,,11.68
2024-06-30,88.89,$9.45,9.41
2024-03-31,84.97,$9.06,9.38
2023-12-31,81.13,$7.75,10.47
2023-09-30,75.09,$7.59,9.89
2023-06-30,67.9,$7.48,9.08
2023-03-31,62.36,$6.93,9.0
2022-12-31,69.12,$6.57,10.52
2022-09-30,53.69,$7.84,6.85
2022-06-30,52.52,$6.63,7.92
2022-03-31,60.69,$6.09,9.97
2021-12-31,54.7,$6.38,8.57
2021-09-30,48.55,$6.16,7.88
2021-06-30,49.69,$8.28,6.0
2021-03-31,47.12,$7.78,6.06
2020-12-31,40.65,$6.69,6.08
2020-09-30,33.01,$6.40,5.16
2020-06-30,32.48,$4.00,8.12
2020-03-31,30.61,$3.97,7.71
2019-12-31,47.03,$4.42,10.64
2019-09-30,46.29,$4.05,11.43
2019-06-30,48.24,$4.10,11.77
2019-03-31,43.78,$3.92,11.17
2018-12-31,39.67,$5.67,7.0
2018-09-30,40.75,$5.88,6.94
2018-03-31,37.46,$5.68,6.6
2017-12-31,37.35,$5.51,6.79
2017-09-30,34.45,$3.45,9.99
2017-06-30,32.7,$3.62,9.03
2017-03-31,30.31,$3.49,8.69
2016-12-31,28.96,$3.42,8.48
2018-06-30,37.04,$3.37,11.01
2016-09-30,29.72,$3.15,9.44
2016-06-30,29.68,$3.05,9.75
2016-03-31,25.81,$3.05,8.48
2015-12-31,24.31,$2.93,8.3
2015-09-30,23.44,$2.86,8.2
2015-06-30,24.93,$2.98,8.37
2015-03-31,25.5,$3.21,7.94
2014-12-31,24.19,$3.26,7.43
2014-09-30,22.91,$3.20,7.17
2014-06-30,24.34,$3.17,7.69
2014-03-31,24.5,$3.23,7.6
2013-12-31,25.81,$3.38,7.65
2013-09-30,23.82,$3.27,7.28
2013-06-30,22.2,$3.60,6.17
2013-03-31,19.75,$3.17,6.24
2012-12-31,20.02,$3.06,6.55
2012-09-30,17.92,$3.02,5.93
2012-06-30,15.82,$2.74,5.79
2012-03-31,16.96,$2.52,6.73
2011-12-31,15.84,$2.10,7.54
2011-09-30,12.7,$1.98,6.43
2011-06-30,16.84,$1.91,8.81
2011-03-31,18.93,$2.23,8.51
2010-12-31,20.13,$2.48,8.12
2010-09-30,18.35,$2.29,8.03
2010-06-30,15.05,$1.94,7.76
2010-03-31,19.03,$1.66,11.47
2009-12-31,16.12,$1.60,10.11
