Bath & Body Works PE Ratio Historical Data,Bath & Body Works PE Ratio Historical Data,Bath & Body Works PE Ratio Historical Data,Bath & Body Works PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,30.76,,8.92
2024-07-31,36.54,$3.45,10.59
2024-04-30,45.17,$3.88,11.64
2024-01-31,42.24,$3.85,10.97
2023-10-31,29.16,$3.19,9.14
2023-07-31,36.25,$3.07,11.81
2023-04-30,34.15,$3.16,10.81
2023-01-31,44.55,$3.45,12.91
2022-10-31,32.16,$3.84,8.37
2022-07-31,34.07,$3.77,9.04
2022-04-30,50.44,$4.59,10.99
2022-01-31,53.27,$4.92,10.83
2021-10-31,65.52,$5.67,11.56
2021-07-31,75.76,$6.51,11.64
2021-04-30,62.21,$4.99,12.47
2021-01-31,38.48,$2.95,13.04
2020-10-31,30.22,$-0.78,0.0
2020-07-31,23.04,$-2.86,0.0
2020-04-30,11.22,$-2.54,0.0
2020-01-31,21.59,$-1.33,0.0
2019-10-31,15.61,$1.31,11.92
2019-07-31,23.41,$2.06,11.36
2019-04-30,22.83,$2.28,10.01
2019-01-31,24.51,$2.31,10.61
2018-10-31,27.97,$2.70,10.36
2018-07-31,26.76,$3.16,8.47
2018-04-30,28.98,$3.28,8.84
2018-01-31,41.07,$3.44,11.94
2017-10-31,34.86,$3.29,10.6
2017-07-31,36.99,$3.41,10.85
2017-04-30,41.62,$3.80,10.95
2017-01-31,46.97,$3.99,11.77
2016-10-31,55.82,$3.96,14.1
2016-07-31,56.69,$4.09,13.86
2016-04-30,59.53,$3.90,15.26
2016-01-31,70.86,$4.22,16.79
2015-10-31,70.35,$3.96,17.77
2015-07-31,58.81,$3.85,15.27
2015-04-30,64.73,$3.70,17.49
2015-01-31,59.65,$4.51,13.23
2014-10-31,50.61,$2.93,17.27
2014-04-30,37.61,$3.10,12.13
2014-01-31,35.45,$3.05,11.62
2013-10-31,42.0,$2.79,15.05
2013-07-31,37.23,$2.73,13.64
2013-04-30,33.45,$2.61,12.82
2013-01-31,31.65,$2.54,12.46
2012-10-31,29.57,$2.32,12.74
2012-07-31,28.61,$2.38,12.02
2012-04-30,29.73,$2.62,11.35
2012-01-31,24.91,$2.71,9.19
2011-10-31,24.11,$2.90,8.31
2011-07-31,21.25,$2.77,7.67
2011-04-30,22.35,$2.58,8.66
2011-01-31,15.78,$2.42,6.52
2010-10-31,14.43,$2.14,6.74
2010-07-31,12.51,$2.01,6.22
2010-04-30,13.0,$1.70,7.65
2010-01-31,8.8,$1.37,6.43
2009-10-31,8.07,$0.34,23.75
2009-07-31,5.88,$0.92,6.39
