AstraZeneca PE Ratio Historical Data,AstraZeneca PE Ratio Historical Data,AstraZeneca PE Ratio Historical Data,AstraZeneca PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,87.62,,42.33
2024-06-30,77.51,$2.07,37.45
2024-03-31,67.34,$2.04,33.01
2023-12-31,65.93,$1.92,34.34
2023-09-30,66.29,$1.90,34.89
2023-06-30,69.6,$1.99,34.97
2023-03-31,67.5,$1.52,44.4
2022-12-31,64.98,$1.07,60.73
2022-09-30,52.56,$0.67,78.45
2022-06-30,62.87,$-0.41,0.0
2022-03-31,63.13,$-0.32,0.0
2021-12-31,54.51,$0.14,389.32
2021-09-30,56.2,$0.64,87.81
2021-06-30,55.61,$1.44,38.62
2021-03-31,46.16,$1.52,30.37
2020-12-31,45.53,$1.23,37.01
2020-09-30,49.91,$0.96,51.99
2020-06-30,47.78,$0.83,57.57
2020-03-31,40.35,$0.59,68.39
2019-12-31,44.12,$0.53,83.24
2019-09-30,39.44,$0.82,48.09
2019-06-30,36.16,$0.87,41.56
2019-03-31,35.41,$0.96,36.89
2018-12-31,32.52,$0.85,38.26
2018-09-30,33.88,$0.96,35.3
2018-06-30,29.73,$1.06,28.04
2018-03-31,29.61,$1.11,26.67
2017-12-31,28.58,$1.19,24.02
2017-09-30,27.91,$1.40,19.93
2017-06-30,27.66,$1.53,18.08
2017-03-31,25.26,$1.34,18.85
2016-12-31,21.46,$1.39,15.44
2016-09-30,25.81,$0.98,26.34
2016-06-30,23.4,$0.88,26.59
2016-03-31,21.83,$1.16,18.81
2015-12-31,25.51,$1.12,22.77
2015-09-30,23.91,$0.68,35.42
2015-06-30,23.61,$0.48,49.71
2015-03-31,25.36,$0.51,49.73
2014-12-31,25.37,$0.49,51.78
2014-09-30,25.76,$0.41,63.59
2014-06-30,26.44,$0.80,33.05
2014-03-31,23.09,$0.82,28.33
2013-12-31,20.53,$1.02,20.13
2013-09-30,17.96,$1.84,9.76
2013-06-30,16.07,$1.95,8.24
2013-03-31,16.98,$2.26,7.53
2012-12-31,15.42,$2.49,6.19
2012-09-30,15.61,$2.46,6.35
2012-06-30,14.33,$3.14,4.57
2012-03-31,14.24,$3.26,4.37
2011-12-31,14.21,$3.66,3.89
2011-09-30,13.61,$3.65,3.74
2011-06-30,15.08,$2.90,5.2
2011-03-31,13.89,$2.87,4.85
2010-12-31,13.39,$2.79,4.81
2010-09-30,14.7,$2.75,5.34
2010-06-30,13.48,$2.95,4.58
2010-03-31,12.79,$2.81,4.55
2009-12-31,12.93,$2.60,4.98
