S&P Global PE Ratio Historical Data,S&P Global PE Ratio Historical Data,S&P Global PE Ratio Historical Data,S&P Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,513.24,,48.65
2024-06-30,445.2,$10.55,42.2
2024-03-31,424.69,$8.92,47.61
2023-12-31,438.81,$8.23,53.32
2023-09-30,363.2,$7.73,46.99
2023-06-30,397.54,$7.24,54.91
2023-03-31,341.03,$8.50,40.12
2022-12-31,330.45,$10.50,31.47
2022-09-30,300.55,$11.96,25.13
2022-06-30,331.02,$13.42,24.67
2022-03-31,401.86,$13.86,28.99
2021-12-31,461.48,$12.51,36.89
2021-09-30,414.79,$11.60,35.76
2021-06-30,399.99,$10.18,39.29
2021-03-31,343.18,$10.16,33.78
2020-12-31,318.95,$9.66,33.02
2020-09-30,349.17,$9.98,34.99
2020-06-30,318.44,$10.60,30.04
2020-03-31,236.33,$9.56,24.72
2019-12-31,262.72,$8.59,30.58
2019-09-30,235.2,$8.42,27.93
2019-06-30,218.22,$7.87,27.73
2019-03-31,201.17,$7.45,27.0
2018-12-31,161.91,$6.82,23.74
2018-09-30,185.63,$6.40,29.01
2018-06-30,193.23,$6.07,31.83
2017-12-31,159.73,$5.78,27.64
2017-09-30,147.02,$6.81,21.59
2017-06-30,136.94,$7.13,19.21
2017-03-31,122.28,$8.87,13.79
2016-12-31,100.27,$8.78,11.42
