Capital One Financial PE Ratio Historical Data,Capital One Financial PE Ratio Historical Data,Capital One Financial PE Ratio Historical Data,Capital One Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,146.93,,13.33
2024-06-30,137.82,$11.02,12.51
2023-12-31,129.41,$11.95,10.83
2023-09-30,95.23,$13.31,7.16
2023-06-30,106.76,$13.06,8.17
2023-03-31,93.22,$14.50,6.43
2022-12-31,89.67,$17.81,5.03
2022-09-30,88.44,$20.19,4.38
2022-06-30,99.41,$22.77,4.37
2022-03-31,124.63,$25.43,4.9
2021-12-31,137.2,$25.16,5.45
2021-09-30,152.58,$24.81,6.15
2021-06-30,144.68,$15.82,9.15
2020-12-31,91.91,$5.10,18.02
2020-09-30,66.73,$2.00,33.37
2020-06-30,58.03,$3.97,14.62
2020-03-31,46.45,$8.87,5.24
2019-12-31,94.44,$15.21,6.21
2021-03-31,118.69,$15.82,7.5
2019-09-30,83.15,$11.27,7.38
2019-06-30,82.56,$11.57,7.14
2019-03-31,74.0,$12.04,6.15
2018-12-31,68.12,$11.80,5.77
2018-09-30,85.18,$7.15,11.91
2018-06-30,82.12,$6.30,13.03
2018-03-31,85.25,$4.53,18.82
2017-12-31,88.22,$3.45,25.57
2017-09-30,74.66,$7.07,10.56
2017-06-30,72.51,$6.83,10.62
2017-03-31,75.68,$6.58,11.5
2016-12-31,75.85,$6.88,11.02
2016-09-30,62.12,$7.01,8.86
2016-06-30,54.6,$7.09,7.7
2016-03-31,59.24,$6.90,8.59
2015-12-31,61.29,$7.06,8.68
2015-09-30,61.27,$7.21,8.5
2015-06-30,73.96,$7.09,10.43
2015-03-31,65.94,$7.63,8.64
2014-12-31,68.79,$8.76,7.85
2014-09-30,67.77,$8.99,7.54
2014-06-30,68.32,$8.58,7.96
2024-03-31,147.6,$8.40,17.57
2014-03-31,63.57,$7.14,8.9
2013-12-31,62.85,$6.97,9.02
2013-09-30,56.15,$6.93,8.1
2013-06-30,51.08,$7.08,7.22
2013-03-31,44.47,$5.37,8.28
2012-12-31,46.84,$6.30,7.43
2012-09-30,46.05,$5.77,7.98
2012-06-30,44.12,$5.53,7.98
2012-03-31,44.94,$7.34,6.12
2011-12-31,34.06,$6.83,4.99
2011-09-30,31.88,$7.47,4.27
2011-06-30,41.52,$7.46,5.57
2011-03-31,41.71,$6.82,6.12
2010-12-31,34.13,$6.01,5.68
2010-09-30,31.68,$5.32,5.95
2010-06-30,32.24,$4.50,7.16
2010-03-31,33.09,$2.52,13.13
2009-12-31,30.59,$0.67,45.66
